unique_id,workshop_id,sn_type,sn_id,sn_content,sn_clean,sn_token,sn_token_str,compound_s,positive_s,negative_s,neutral_s
A1_L1,A1,L,L1,"Analyzing cases, side games to stay engaged, making final decisions",analyzing cases side games to stay engaged making final decisions,"['analyze', 'case', 'game', 'stay', 'engaged', 'make', 'final', 'decision']",analyze case game stay engaged make final decision,0.4019,0.231,0.0,0.769
A1_L2,A1,L,L2,ten plus,ten plus,['plus'],plus,0.0,0.0,0.0,1.0
A1_L3,A1,L,L3,Teach a more thorough understanding of racial bias in a simple manner.,teach a more thorough understanding of racial bias in a simple manner,"['teach', 'thorough', 'understanding', 'racial', 'bias', 'simple', 'manner']",teach thorough understanding racial bias simple manner,-0.1027,0.0,0.113,0.887
A1_L4,A1,L,L4,"General knowledge of vocabulary, brief trial / court knowledge, a better understanding of racial injustice",general knowledge of vocabulary brief trial court knowledge a better understanding of racial injustice,"['general', 'knowledge', 'vocabulary', 'brief', 'trial', 'court', 'knowledge', 'well', 'understanding', 'racial', 'injustice']",general knowledge vocabulary brief trial court knowledge well understanding racial injustice,-0.2023,0.156,0.199,0.645
A1_L5,A1,L,L5,Beat all the levels (achieve a stronger knowledge of racial injustice / bias / discrimination.),beat all the levels achieve a stronger knowledge of racial injustice bias discrimination,"['beat', 'level', 'achieve', 'strong', 'knowledge', 'racial', 'injustice', 'bias', 'discrimination']",beat level achieve strong knowledge racial injustice bias discrimination,-0.3612,0.147,0.288,0.565
A1_S1,A1,S,S1,"Main player: Judge, Victim, Witness, Cop, etc",main player judge victim witness cop etc,"['main', 'player', 'judge', 'victim', 'witness', 'cop', 'etc']",main player judge victim witness cop etc,-0.2732,0.0,0.259,0.741
A1_S2,A1,S,S2,The real world,the real world,"['real', 'world']",real world,0.0,0.0,0.0,1.0
A1_S3,A1,S,S3,Based around a court case interpretation of real events that have occured.  Player's are tasked with analyzing events as accurately as possible and determine racial biases.,based around a court case interpretation of real events that have occured player s are tasked with analyzing events as accurately as possible and determine racial biases,"['base', 'court', 'case', 'interpretation', 'real', 'event', 'occur', 'player', 's', 'task', 'analyze', 'event', 'accurately', 'possible', 'determine', 'racial', 'bias']",base court case interpretation real event occur player s task analyze event accurately possible determine racial bias,0.0,0.0,0.0,1.0
A1_S4,A1,S,S4,"Interact with files, artifacts, individuals, the court in genreal",interact with files artifacts individuals the court in genreal,"['interact', 'file', 'artifact', 'individual', 'court', 'genreal']",interact file artifact individual court genreal,0.0,0.0,0.0,1.0
A1_S5,A1,S,S5,"Judge, Jury, witnesses, victims, misc. court case people",judge jury witnesses victims misc court case people,"['judge', 'jury', 'witness', 'victim', 'misc', 'court', 'case', 'people']",judge jury witness victim misc court case people,-0.3182,0.0,0.247,0.753
A1_G1,A1,G,G1,Motivation is through satisfaction of becoming educated and skilled at the game.,motivation is through satisfaction of becoming educated and skilled at the game,"['motivation', 'satisfaction', 'educate', 'skilled', 'game']",motivation satisfaction educate skilled game,0.6486,0.346,0.0,0.654
A1_G2,A1,G,G2,video game,video game,"['video', 'game']",video game,0.0,0.0,0.0,1.0
A1_G3,A1,G,G3,"Agree / Disagree to various situations.  Time limit to increase entertainement / replayability, but long enough to allow for a proper analysis.",agree disagree to various situations time limit to increase entertainement replayability but long enough to allow for a proper analysis,"['agree', 'disagree', 'situation', 'time', 'limit', 'increase', 'entertainement', 'replayability', 'long', 'allow', 'proper', 'analysis']",agree disagree situation time limit increase entertainement replayability long allow proper analysis,0.4497,0.244,0.076,0.679
A1_G4,A1,G,G4,"empathy, understanding, compassion, wonder,",empathy understanding compassion wonder,"['empathy', 'understand', 'compassion', 'wonder']",empathy understand compassion wonder,0.4588,0.5,0.0,0.5
A1_G5,A1,G,G5,Depending on actions there will be an outcome of lower / higher scores.,depending on actions there will be an outcome of lower higher scores,"['depend', 'action', 'outcome', 'low', 'high', 'score']",depend action outcome low high score,-0.296,0.0,0.167,0.833
A1_G6,A1,G,G6,"Levels, once a tutorial is finished",levels once a tutorial is finished,"['level', 'tutorial', 'finish']",level tutorial finish,0.0,0.0,0.0,1.0
A1_U1,A1,U,U1,"No, results are personal and are to be interpreted by the player themselves",no results are personal and are to be interpreted by the player themselves,"['no', 'result', 'personal', 'interpret', 'player']",no result personal interpret player,-0.296,0.0,0.155,0.845
A1_U2,A1,U,U2,Progress reports upon completion of each level and ability to go back to previous reports in a data collection window.,progress reports upon completion of each level and ability to go back to previous reports in a data collection window,"['progress', 'report', 'completion', 'level', 'ability', 'previous', 'report', 'datum', 'collection', 'window']",progress report completion level ability previous report datum collection window,0.6249,0.221,0.0,0.779
A2_L1,A2,L,L1,Skills / knowledge required: Of the judicial system. Current state of policing Racial biases Skills / knowledge gained: Deeper understanding of personal biases and how to challenge them.,skills knowledge required of the judicial system current state of policing racial biases skills knowledge gained deeper understanding of personal biases and how to challenge them,"['skill', 'knowledge', 'require', 'judicial', 'system', 'current', 'state', 'police', 'racial', 'bias', 'skill', 'knowledge', 'gain', 'deep', 'understanding', 'personal', 'bias', 'challenge']",skill knowledge require judicial system current state police racial bias skill knowledge gain deep understanding personal bias challenge,0.4404,0.14,0.0,0.86
A2_L2,A2,L,L2,Player: Offices in Training,player offices in training,"['player', 'office', 'training']",player office training,0.0,0.0,0.0,1.0
A2_L3,A2,L,L3,Goal: Collect Points,goal collect points,"['goal', 'collect', 'point']",goal collect point,0.0,0.0,0.0,1.0
A2_L4,A2,L,L4,Challenge: Resolving Racial Bias,challenge resolving racial bias,"['challenge', 'resolve', 'racial', 'bias']",challenge resolve racial bias,0.3612,0.619,0.222,0.159
A2_L5,A2,L,L5,Activities: Walking through a vague scenario.,activities walking through a vague scenario,"['activity', 'walk', 'vague', 'scenario']",activity walk vague scenario,-0.1027,0.0,0.219,0.781
A2_S1,A2,S,S1,Main Character: Police Secondary: Community members,main character police secondary community members,"['main', 'character', 'police', 'secondary', 'community', 'member']",main character police secondary community member,0.0,0.0,0.0,1.0
A2_S2,A2,S,S2,Plot: Some racially-biased situation occurred.,plot some racially biased situation occurred,"['plot', 'racially', 'biased', 'situation', 'occur']",plot racially biased situation occur,-0.2732,0.0,0.296,0.704
A2_S3,A2,S,S3,Interact with cards only.,interact with cards only,"['interact', 'card']",interact card,0.0,0.0,0.0,1.0
A2_S4,A2,S,S4,"Type of World: Non-human, alien world.",type of world non human alien world,"['type', 'world', 'non', 'human', 'alien', 'world']",type world non human alien world,0.0,0.0,0.0,1.0
A2_S5,A2,S,S5,Characters: Cop: distinct color Two different community groups of different colors Players assume roles,characters cop distinct color two different community groups of different colors players assume roles,"['character', 'cop', 'distinct', 'color', 'different', 'community', 'group', 'different', 'color', 'player', 'assume', 'role']",character cop distinct color different community group different color player assume role,0.0,0.0,0.0,1.0
A2_G1,A2,G,G1,"Motivation sustained through points / winning Forced to play the game, motivated by not getting fired.",motivation sustained through points winning forced to play the game motivated by not getting fired,"['motivation', 'sustain', 'point', 'win', 'force', 'play', 'game', 'motivate', 'not', 'getting', 'fire']",motivation sustain point win force play game motivate not getting fire,0.8786,0.541,0.115,0.345
A2_G2,A2,G,G2,Multi-level,multi level,"['multi', 'level']",multi level,0.0,0.0,0.0,1.0
A2_G3,A2,G,G3,Card Game,card game,"['card', 'game']",card game,0.0,0.0,0.0,1.0
A2_G4,A2,G,G4,Taking / discarding cards sixty seconds per action Feedback through points (each action has some number of points),taking discarding cards sixty seconds per action feedback through points each action has some number of points,"['take', 'discard', 'card', 'second', 'action', 'feedback', 'point', 'action', 'number', 'point']",take discard card second action feedback point action number point,-0.1027,0.072,0.094,0.833
A2_G5,A2,G,G5,Anger and Competiteveness,anger and competiteveness,"['anger', 'competiteveness']",anger competiteveness,-0.5719,0.0,0.649,0.351
A2_G6,A2,G,G6,Outcomes: Accumulation of points Eligibility to continue training,outcomes accumulation of points eligibility to continue training,"['outcome', 'accumulation', 'point', 'eligibility', 'continue', 'train']",outcome accumulation point eligibility continue train,0.0,0.0,0.0,1.0
A2_U1,A2,U,U1,Can share results,can share results,"['share', 'result']",share result,0.296,0.524,0.0,0.476
A2_U2,A2,U,U2,Sharing Total Points,sharing total points,"['share', 'total', 'point']",share total point,0.4215,0.583,0.0,0.417
A2_U3,A2,U,U3,Progress : Reported through points.,progress reported through points,"['progress', 'report', 'point']",progress report point,0.4215,0.483,0.0,0.517
A2_U4,A2,U,U4,Progress Points,progress points,"['progress', 'point']",progress point,0.4215,0.737,0.0,0.263
A3_L1,A3,L,L1,to overcome the learning challenges; identify ways of incorporating those outcomes in the day-to-day; challenging one's own habits and patterns; self-forgiveness; modelling trust as a way to achieving safety,to overcome the learning challenges identify ways of incorporating those outcomes in the day to day challenging one s own habits and patterns self forgiveness modelling trust as a way to achieving safety,"['overcome', 'learning', 'challenge', 'identify', 'way', 'incorporate', 'outcome', 'day', 'day', 'challenge', 's', 'habit', 'pattern', 'self', 'forgiveness', 'modelling', 'trust', 'way', 'achieve', 'safety']",overcome learning challenge identify way incorporate outcome day day challenge s habit pattern self forgiveness modelling trust way achieve safety,0.8442,0.284,0.0,0.716
A3_L2,A3,L,L2,anyone; police officers; community members involved in policing; elected officials; teachers; students; school administration; justice advocates; mental health professionals; law and policy makers; community advocate working to influence policy; university proessirs; university administrators,anyone police officers community members involved in policing elected officials teachers students school administration justice advocates mental health professionals law and policy makers community advocate working to influence policy university proessirs university administrators,"['police', 'officer', 'community', 'member', 'involve', 'police', 'elect', 'official', 'teacher', 'student', 'school', 'administration', 'justice', 'advocate', 'mental', 'health', 'professional', 'law', 'policy', 'maker', 'community', 'advocate', 'work', 'influence', 'policy', 'university', 'proessir', 'university', 'administrator']",police officer community member involve police elect official teacher student school administration justice advocate mental health professional law policy maker community advocate work influence policy university proessir university administrator,0.5267,0.096,0.0,0.904
A3_L3,A3,L,L3,how to empathize; how to identify one's own unconscious biases; how to share one's own experience; how to be vulnerable in sharing personal experience; recognizing mistakes; recognizing patterns of bias or racial injustice in the community; how to recognize that change can happen / developing hopefulness,how to empathize how to identify one s own unconscious biases how to share one s own experience how to be vulnerable in sharing personal experience recognizing mistakes recognizing patterns of bias or racial injustice in the community how to recognize that change can happen developing hopefulness,"['empathize', 'identify', 's', 'unconscious', 'bias', 'share', 's', 'experience', 'vulnerable', 'share', 'personal', 'experience', 'recognize', 'mistake', 'recognize', 'pattern', 'bias', 'racial', 'injustice', 'community', 'recognize', 'change', 'happen', 'develop', 'hopefulness']",empathize identify s unconscious bias share s experience vulnerable share personal experience recognize mistake recognize pattern bias racial injustice community recognize change happen develop hopefulness,-0.2263,0.133,0.166,0.701
