unique_id,workshop_id,sn_type,sn_id,sn_content,sn_clean,sn_token,sn_token_str,compound_s,positive_s,negative_s,neutral_s
A1_S1,A1,S,S1,"Main player: Judge, Victim, Witness, Cop, etc",main player judge victim witness cop etc,"['main', 'player', 'judge', 'victim', 'witness', 'cop', 'etc']",main player judge victim witness cop etc,-0.2732,0.0,0.259,0.741
A1_S2,A1,S,S2,The real world,the real world,"['real', 'world']",real world,0.0,0.0,0.0,1.0
A1_S3,A1,S,S3,Based around a court case interpretation of real events that have occured.  Player's are tasked with analyzing events as accurately as possible and determine racial biases.,based around a court case interpretation of real events that have occured player s are tasked with analyzing events as accurately as possible and determine racial biases,"['base', 'court', 'case', 'interpretation', 'real', 'event', 'occur', 'player', 's', 'task', 'analyze', 'event', 'accurately', 'possible', 'determine', 'racial', 'bias']",base court case interpretation real event occur player s task analyze event accurately possible determine racial bias,0.0,0.0,0.0,1.0
A1_S4,A1,S,S4,"Interact with files, artifacts, individuals, the court in genreal",interact with files artifacts individuals the court in genreal,"['interact', 'file', 'artifact', 'individual', 'court', 'genreal']",interact file artifact individual court genreal,0.0,0.0,0.0,1.0
A1_S5,A1,S,S5,"Judge, Jury, witnesses, victims, misc. court case people",judge jury witnesses victims misc court case people,"['judge', 'jury', 'witness', 'victim', 'misc', 'court', 'case', 'people']",judge jury witness victim misc court case people,-0.3182,0.0,0.247,0.753
A2_S1,A2,S,S1,Main Character: Police Secondary: Community members,main character police secondary community members,"['main', 'character', 'police', 'secondary', 'community', 'member']",main character police secondary community member,0.0,0.0,0.0,1.0
A2_S2,A2,S,S2,Plot: Some racially-biased situation occurred.,plot some racially biased situation occurred,"['plot', 'racially', 'biased', 'situation', 'occur']",plot racially biased situation occur,-0.2732,0.0,0.29600000000000004,0.7040000000000001
A2_S3,A2,S,S3,Interact with cards only.,interact with cards only,"['interact', 'card']",interact card,0.0,0.0,0.0,1.0
A2_S4,A2,S,S4,"Type of World: Non-human, alien world.",type of world non human alien world,"['type', 'world', 'non', 'human', 'alien', 'world']",type world non human alien world,0.0,0.0,0.0,1.0
A2_S5,A2,S,S5,Characters: Cop: distinct color Two different community groups of different colors Players assume roles,characters cop distinct color two different community groups of different colors players assume roles,"['character', 'cop', 'distinct', 'color', 'different', 'community', 'group', 'different', 'color', 'player', 'assume', 'role']",character cop distinct color different community group different color player assume role,0.0,0.0,0.0,1.0
A3_S1,A3,S,S1,"The story takes place in the USA. Involving a conflict between a white person and a black person and the police is present. Police has to address the situation [sorry so vague]; Mental health patient, BIPOC. Smashed his face into the cop car to be taken to the hospital instead of back to the insitution. Had to be restrained, cops and security handling him, and no mental health support. Stayed in ICU. How to provide an avenue for resolution / well being and safety with resources? who else to call? How to appraoch?",the story takes place in the usa involving a conflict between a white person and a black person and the police is present police has to address the situation sorry so vague mental health patient bipoc smashed his face into the cop car to be taken to the hospital instead of back to the insitution had to be restrained cops and security handling him and no mental health support stayed in icu how to provide an avenue for resolution well being and safety with resources who else to call how to appraoch,"['story', 'take', 'place', 'usa', 'involve', 'conflict', 'white', 'person', 'black', 'person', 'police', 'present', 'police', 'address', 'situation', 'sorry', 'vague', 'mental', 'health', 'patient', 'bipoc', 'smash', 'face', 'cop', 'car', 'take', 'hospital', 'instead', 'insitution', 'restrain', 'cop', 'security', 'handle', 'no', 'mental', 'health', 'support', 'stay', 'icu', 'provide', 'avenue', 'resolution', 'safety', 'resource', 'appraoch']",story take place usa involve conflict white person black person police present police address situation sorry vague mental health patient bipoc smash face cop car take hospital instead insitution restrain cop security handle no mental health support stay icu provide avenue resolution safety resource appraoch,0.5161,0.098,0.075,0.826
A3_S2,A3,S,S2,"In Detroit, now, pandemic, world with other confounding issues. Post trump presidency, mental health issues are exacerbated and central part of the story. Health issues are a big part of it. Trauma response.",in detroit now pandemic world with other confounding issues post trump presidency mental health issues are exacerbated and central part of the story health issues are a big part of it trauma response,"['detroit', 'pandemic', 'world', 'confounding', 'issue', 'post', 'trump', 'presidency', 'mental', 'health', 'issue', 'exacerbate', 'central', 'story', 'health', 'issue', 'big', 'trauma', 'response']",detroit pandemic world confounding issue post trump presidency mental health issue exacerbate central story health issue big trauma response,-0.4215,0.0,0.08,0.92
A3_S3,A3,S,S3,(1) Black mental health patient (2) First response police officer (PLAYER PLAYS THIS ROLE) (3) social worker (4) nurses and healthcare workers (5) patient's family (6) patient's community,black mental health patient first response police officer player plays this role social worker nurses and healthcare workers patient s family patient s community,"['black', 'mental', 'health', 'patient', 'response', 'police', 'officer', 'player', 'play', 'role', 'social', 'worker', 'nurse', 'healthcare', 'worker', 'patient', 's', 'family', 'patient', 's', 'community']",black mental health patient response police officer player play role social worker nurse healthcare worker patient s family patient s community,0.25,0.08,0.0,0.92
A3_S4,A3,S,S4,"Interact with cards holding information about stories. Interact with each other to communicate what is going on with limitations. Interact with cards that might pose limitations (time limits). Interact with cards that can bring resources options into the game, including more time to communicate, other characters",interact with cards holding information about stories interact with each other to communicate what is going on with limitations interact with cards that might pose limitations time limits interact with cards that can bring resources options into the game including more time to communicate other characters,"['interact', 'card', 'hold', 'information', 'story', 'interact', 'communicate', 'go', 'limitation', 'interact', 'card', 'pose', 'limitation', 'time', 'limit', 'interact', 'card', 'bring', 'resource', 'option', 'game', 'include', 'time', 'communicate', 'character']",interact card hold information story interact communicate go limitation interact card pose limitation time limit interact card bring resource option game include time communicate character,0.0,0.0,0.0,1.0
A3_S5,A3,S,S5,"Main character is the police officer making decisions. Main secondary character would be the patient. other secondary characters are resources and the community such as social worker, nurse, etc. Players can switch roles based on their real roles in society i.e. police offer could play the patient or nurse.",main character is the police officer making decisions main secondary character would be the patient other secondary characters are resources and the community such as social worker nurse etc players can switch roles based on their real roles in society i e police offer could play the patient or nurse,"['main', 'character', 'police', 'officer', 'make', 'decision', 'main', 'secondary', 'character', 'patient', 'secondary', 'character', 'resource', 'community', 'social', 'worker', 'nurse', 'etc', 'player', 'switch', 'role', 'base', 'real', 'role', 'society', 'e', 'police', 'offer', 'play', 'patient', 'nurse']",main character police officer make decision main secondary character patient secondary character resource community social worker nurse etc player switch role base real role society e police offer play patient nurse,0.34,0.047,0.0,0.953
A4_S1,A4,S,S1,Players interact with other characters (both player controlled and others),players interact with other characters both player controlled and others,"['player', 'interact', 'character', 'player', 'control']",player interact character player control,0.0,0.0,0.0,1.0
A4_S2,A4,S,S2,"Player controlled characters are main characters, secondary characters are others not controlled by characters The backgrounds of characters are made by players",player controlled characters are main characters secondary characters are others not controlled by characters the backgrounds of characters are made by players,"['player', 'control', 'character', 'main', 'character', 'secondary', 'character', 'not', 'control', 'character', 'background', 'character', 'player']",player control character main character secondary character not control character background character player,0.0,0.0,0.0,1.0
A4_S3,A4,S,S3,real world our world steamy alleyways could be sci-fi fantasy and still give insight into the world could be metaphorical or an imagined future (bezos and musk on Mars) include a historical connection that mirrors the real history of policing a place of conflict part of the world where police and community members interact,real world our world steamy alleyways could be sci fi fantasy and still give insight into the world could be metaphorical or an imagined future bezos and musk on mars include a historical connection that mirrors the real history of policing a place of conflict part of the world where police and community members interact,"['real', 'world', 'world', 'steamy', 'alleyway', 'sci', 'fi', 'fantasy', 'insight', 'world', 'metaphorical', 'imagine', 'future', 'bezos', 'musk', 'mars', 'include', 'historical', 'connection', 'mirror', 'real', 'history', 'police', 'place', 'conflict', 'world', 'police', 'community', 'member', 'interact']",real world world steamy alleyway sci fi fantasy insight world metaphorical imagine future bezos musk mars include historical connection mirror real history police place conflict world police community member interact,-0.3182,0.0,0.040999999999999995,0.9590000000000001
A4_S4,A4,S,S4,different scenarios something bad happened and police get involved police get involved for no good reason interactions between police and community members realistic,different scenarios something bad happened and police get involved police get involved for no good reason interactions between police and community members realistic,"['different', 'scenario', 'bad', 'happen', 'police', 'involve', 'police', 'involve', 'no', 'good', 'reason', 'interaction', 'police', 'community', 'member', 'realistic']",different scenario bad happen police involve police involve no good reason interaction police community member realistic,-0.7101,0.0,0.22,0.78
A5_S1,A5,S,S1,lord of the flies theme,lord of the flies theme,"['lord', 'fly', 'theme']",lord fly theme,0.0,0.0,0.0,1.0
A5_S2,A5,S,S2,realistic but dont fully understand the parallels,realistic but dont fully understand the parallels,"['realistic', 'nt', 'fully', 'understand', 'parallel']",realistic nt fully understand parallel,0.0,0.0,0.0,1.0
A5_S3,A5,S,S3,creatures and animals but in the end realize that they are actually people,creatures and animals but in the end realize that they are actually people,"['creature', 'animal', 'end', 'realize', 'actually', 'people']",creature animal end realize actually people,0.0,0.0,0.0,1.0
A5_S4,A5,S,S4,card game board game mixed medium video,card game board game mixed medium video,"['card', 'game', 'board', 'game', 'mix', 'medium', 'video']",card game board game mix medium video,0.0,0.0,0.0,1.0
A5_S5,A5,S,S5,physical version and online version,physical version and online version,"['physical', 'version', 'online', 'version']",physical version online version,0.0,0.0,0.0,1.0
A5_S6,A5,S,S6,realy scary animals and really cute animals but scary ones not actually bad,realy scary animals and really cute animals but scary ones not actually bad,"['realy', 'scary', 'animal', 'cute', 'animal', 'scary', 'one', 'not', 'actually', 'bad']",realy scary animal cute animal scary one not actually bad,-0.1226,0.278,0.3,0.42200000000000004
A6_S1,A6,S,S1,world: setting similar to participant lives,world setting similar to participant lives,"['world', 'set', 'similar', 'participant', 'life']",world set similar participant life,0.0,0.0,0.0,1.0
A6_S2,A6,S,S2,"the plot is up to the players, it develops based on how people play the game",the plot is up to the players it develops based on how people play the game,"['plot', 'player', 'develop', 'base', 'people', 'play', 'game']",plot player develop base people play game,0.34,0.138,0.0,0.862
A6_S3,A6,S,S3,"some structure, with possibility to look back at the end",some structure with possibility to look back at the end,"['structure', 'possibility', 'look', 'end']",structure possibility look end,0.0,0.0,0.0,1.0
A6_S4,A6,S,S4,"""criminals"" + cop",criminals  cop,"['criminal', 'cop']",criminal cop,-0.5719,0.0,0.787,0.213
A6_S5,A6,S,S5,characters: main protagonist (cop and partner) and people they interact with,characters main protagonist cop and partner and people they interact with,"['character', 'main', 'protagonist', 'cop', 'partner', 'people', 'interact']",character main protagonist cop partner people interact,0.0,0.0,0.0,1.0
A6_S6,A6,S,S6,characters reversed community: end up on the police end,characters reversed community end up on the police end,"['character', 'reverse', 'community', 'end', 'police', 'end']",character reverse community end police end,0.0,0.0,0.0,1.0
A6_S7,A6,S,S7,characters: people as main player and cop as second,characters people as main player and cop as second,"['character', 'people', 'main', 'player', 'cop', 'second']",character people main player cop second,0.0,0.0,0.0,1.0
