unique_id,workshop_id,sn_type,sn_id,sn_content,sn_clean,sn_token,sn_token_str,compound_s,positive_s,negative_s,neutral_s
B1_L1,B1,L,L1,attempts to build consensus; winning points for being honest,attempts to build consensus winning points for being honest,"['attempt', 'build', 'consensus', 'win', 'point', 'honest']",attempt build consensus win point honest,0.7717,0.489,0.0,0.511
B1_L2,B1,L,L2,anyone with an interest in changing policing,anyone with an interest in changing policing,"['interest', 'change', 'policing']",interest change policing,0.4588,0.333,0.0,0.667
B1_L3,B1,L,L3,asessing true feelings about policing,asessing true feelings about policing,"['asesse', 'true', 'feeling', 'police']",asesse true feeling police,0.4215,0.412,0.0,0.588
B1_L4,B1,L,L4,honesty and consensus,honesty and consensus,"['honesty', 'consensus']",honesty consensus,0.4939,0.615,0.0,0.385
B1_L5,B1,L,L5,need: knowledge of the concept of police Leave with: building consensus; knowledge of other stakeholder's feelings,need knowledge of the concept of police leave with building consensus knowledge of other stakeholder s feelings,"['need', 'knowledge', 'concept', 'police', 'leave', 'build', 'consensus', 'knowledge', 'stakeholder', 's', 'feeling']",need knowledge concept police leave build consensus knowledge stakeholder s feeling,-0.0516,0.0,0.07,0.93
B1_S1,B1,S,S1,garden variety policing interaction and work your way up,garden variety policing interaction and work your way up,"['garden', 'variety', 'policing', 'interaction', 'work', 'way']",garden variety policing interaction work way,0.0,0.0,0.0,1.0
B1_S2,B1,S,S2,cops and community members; not assuming roles,cops and community members not assuming roles,"['cop', 'community', 'member', 'not', 'assume', 'role']",cop community member not assume role,0.0,0.0,0.0,1.0
B1_S3,B1,S,S3,everyone is their own main and secondary character,everyone is their own main and secondary character,"['main', 'secondary', 'character']",main secondary character,0.0,0.0,0.0,1.0
B1_S4,B1,S,S4,Interact with eachother (the other players) they are having dialogues with each other,interact with eachother the other players they are having dialogues with each other,"['interact', 'eachother', 'player', 'have', 'dialogue']",interact eachother player have dialogue,0.0,0.0,0.0,1.0
B1_S5,B1,S,S5,reality and the world we want,reality and the world we want,"['reality', 'world', 'want']",reality world want,0.0772,0.206,0.0,0.794
B1_G1,B1,G,G1,open mindedness; self reflection; innovation,open mindedness self reflection innovation,"['open', 'mindedness', 'self', 'reflection', 'innovation']",open mindedness self reflection innovation,0.3818,0.394,0.0,0.606
B1_G2,B1,G,G2,Mostly flat but with different phases,mostly flat but with different phases,"['flat', 'different', 'phase']",flat different phase,0.0,0.0,0.0,1.0
B1_G3,B1,G,G3,good faith,good faith,"['good', 'faith']",good faith,0.6908,1.0,0.0,0.0
B1_G4,B1,G,G4,voting on their response,voting on their response,"['vote', 'response']",vote response,0.0,0.0,0.0,1.0
B1_G5,B1,G,G5,providing responses Feedback: response of the group time limit: twenty seconds for honesty rounds one minute for consensus,providing responses feedback response of the group time limit twenty seconds for honesty rounds one minute for consensus,"['provide', 'response', 'feedback', 'response', 'group', 'time', 'limit', 'second', 'honesty', 'round', 'minute', 'consensus']",provide response feedback response group time limit second honesty round minute consensus,0.4939,0.158,0.0,0.842
B1_G6,B1,G,G6,Card game: apples to apples,card game apples to apples,"['card', 'game', 'apple', 'apple']",card game apple apple,0.0,0.0,0.0,1.0
B1_U1,B1,U,U1,yes its public,yes its public,"['yes', 'public']",yes public,0.4019,0.574,0.0,0.426
B1_U2,B1,U,U2,Group result: overview of lessons learned and conclusions come to,group result overview of lessons learned and conclusions come to,"['group', 'result', 'overview', 'lesson', 'learn', 'conclusion', 'come']",group result overview lesson learn conclusion come,0.0,0.0,0.0,1.0
B1_U3,B1,U,U3,building up of cards and interplayer communication,building up of cards and interplayer communication,"['build', 'card', 'interplayer', 'communication']",build card interplayer communication,0.0,0.0,0.0,1.0
B1_U4,B1,U,U4,card counting at end of final round,card counting at end of final round,"['card', 'counting', 'end', 'final', 'round']",card counting end final round,0.0,0.0,0.0,1.0
B2_L1,B2,L,L1,"""everyone wins""  or the condition that the winner is reliant on the other players everyone has a final goal, but teams scores depend on their decisions",everyone wins or the condition that the winner is reliant on the other players everyone has a final goal but teams scores depend on their decisions,"['win', 'condition', 'winner', 'reliant', 'player', 'final', 'goal', 'team', 'score', 'depend', 'decision']",win condition winner reliant player final goal team score depend decision,0.6124,0.207,0.0,0.793
B2_L2,B2,L,L2,either individual or teams of two to represent a single person,either individual or teams of two to represent a single person,"['individual', 'team', 'represent', 'single', 'person']",individual team represent single person,0.0,0.0,0.0,1.0
B2_L3,B2,L,L3,"gain: problem solving, collaboration, empathy don't need to come with skills",gain problem solving collaboration empathy don t need to come with skills,"['gain', 'problem', 'solve', 'collaboration', 'empathy', 'don', 't', 'need', 'come', 'skill']",gain problem solve collaboration empathy don t need come skill,0.4767,0.331,0.154,0.514
B2_L4,B2,L,L4,resisting questioning your reflex a card that requires you collabroate with teams before taking action,resisting questioning your reflex a card that requires you collabroate with teams before taking action,"['resist', 'question', 'reflex', 'card', 'require', 'collabroate', 'team', 'take', 'action']",resist question reflex card require collabroate team take action,-0.1027,0.0,0.091,0.909
B2_L5,B2,L,L5,"for law enforcement unlearning, not wanting to play for all communication, common denominators (candy land example, not getting past a point because you're white)",for law enforcement unlearning not wanting to play for all communication common denominators candy land example not getting past a point because you re white,"['law', 'enforcement', 'unlearn', 'not', 'want', 'play', 'communication', 'common', 'denominator', 'candy', 'land', 'example', 'not', 'get', 'past', 'point', 'white']",law enforcement unlearn not want play communication common denominator candy land example not get past point white,-0.2584,0.0,0.078,0.922
B2_S1,B2,S,S1,urban adventure; survival; theme park,urban adventure survival theme park,"['urban', 'adventure', 'survival', 'theme', 'park']",urban adventure survival theme park,0.3182,0.365,0.0,0.635
B2_S2,B2,S,S2,primary  your neighborhood community (tracy's park example) secondary  those trying to prevent your success slow you down,primary your neighborhood community tracy s park example secondary those trying to prevent your success slow you down,"['primary', 'neighborhood', 'community', 'tracy', 's', 'park', 'example', 'secondary', 'try', 'prevent', 'success', 'slow']",primary neighborhood community tracy s park example secondary try prevent success slow,0.5859,0.231,0.0,0.769
B2_S3,B2,S,S3,"interacting with seconday characters and each other, also the obstacles they're trying to overcome",interacting with seconday characters and each other also the obstacles they re trying to overcome,"['interact', 'seconday', 'character', 'obstacle', 'try', 'overcome']",interact seconday character obstacle try overcome,-0.3818,0.0,0.157,0.843
B2_G1,B2,G,G1,card game,card game,"['card', 'game']",card game,0.0,0.0,0.0,1.0
B2_G2,B2,G,G2,"empathy, comedy laughter, frustration",empathy comedy laughter frustration,"['empathy', 'comedy', 'laughter', 'frustration']",empathy comedy laughter frustration,0.3818,0.582,0.316,0.102
B2_G3,B2,G,G3,best team player; haunted theme park where things threaten your survival; gaining medals extra points; pride of winning if teams are made of groups within the same community region,best team player haunted theme park where things threaten your survival gaining medals extra points pride of winning if teams are made of groups within the same community region,"['good', 'team', 'player', 'haunt', 'theme', 'park', 'thing', 'threaten', 'survival', 'gain', 'medal', 'extra', 'point', 'pride', 'win', 'team', 'group', 'community', 'region']",good team player haunt theme park thing threaten survival gain medal extra point pride win team group community region,0.7964,0.308,0.137,0.554
B2_G4,B2,G,G4,multiple levels of difficulty to choose from - different stacks of cards,multiple levels of difficulty to choose from different stacks of cards,"['multiple', 'level', 'difficulty', 'choose', 'different', 'stack', 'card']",multiple level difficulty choose different stack card,-0.34,0.0,0.194,0.806
B2_G5,B2,G,G5,gain lose points for individual team,gain lose points for individual team,"['gain', 'lose', 'point', 'individual', 'team']",gain lose point individual team,0.1779,0.337,0.267,0.396
B2_G6,B2,G,G6,"play a card or not (trip the zombie, do nothing)",play a card or not trip the zombie do nothing,"['play', 'card', 'not', 'trip', 'zombie']",play card not trip zombie,0.34,0.211,0.0,0.789
B3_L1,B3,L,L1,law enforcement,law enforcement,"['law', 'enforcement']",law enforcement,0.0,0.0,0.0,1.0
B3_L2,B3,L,L2,roots of policing policing flaws learn about others,roots of policing policing flaws learn about others,"['root', 'policing', 'policing', 'flaw', 'learn']",root policing policing flaw learn,0.0,0.0,0.0,1.0
B3_L3,B3,L,L3,survive the game level up,survive the game level up,"['survive', 'game', 'level']",survive game level,0.0,0.0,0.0,1.0
B3_L4,B3,L,L4,flashbacks alternative routes,flashbacks alternative routes,"['flashback', 'alternative', 'route']",flashback alternative route,0.0,0.0,0.0,1.0
B3_L5,B3,L,L5,reading skills reasoning skills get: understanding Black people's experience (get different viewpoint),reading skills reasoning skills get understanding black people s experience get different viewpoint,"['read', 'skill', 'reasoning', 'skill', 'understand', 'black', 'people', 's', 'experience', 'different', 'viewpoint']",read skill reasoning skill understand black people s experience different viewpoint,0.0,0.0,0.0,1.0
B3_S1,B3,S,S1,regular person moving through life doing regular things in a heavily policed community with challenges outside of characater Control,regular person moving through life doing regular things in a heavily policed community with challenges outside of characater control,"['regular', 'person', 'move', 'life', 'regular', 'thing', 'heavily', 'police', 'community', 'challenge', 'outside', 'characater', 'control']",regular person move life regular thing heavily police community challenge outside characater control,0.0772,0.067,0.0,0.933
B3_S2,B3,S,S2,real life so that people learn,real life so that people learn,"['real', 'life', 'people', 'learn']",real life people learn,0.0,0.0,0.0,1.0
B3_S3,B3,S,S3,a Black characater with a diversity of friends / Calvin from McDonald's,a black characater with a diversity of friends calvin from mcdonald s,"['black', 'characater', 'diversity', 'friend', 'calvin', 'mcdonald', 's']",black characater diversity friend calvin mcdonald s,0.4767,0.22,0.0,0.78
B3_S4,B3,S,S4,"Calvin / friends (Francis, Bobby, Dillon, Blake), parents (Calvin Sr. Marie)",calvin friends francis bobby dillon blake parents calvin sr marie,"['calvin', 'friends', 'francis', 'bobby', 'dillon', 'blake', 'parents', 'calvin', 'sr', 'marie']",calvin friends francis bobby dillon blake parents calvin sr marie,0.4767,0.256,0.0,0.744
B3_G1,B3,G,G1,levels yes,levels yes,"['level', 'yes']",level yes,0.4019,0.73,0.0,0.27
B3_G2,B3,G,G2,interactive video game,interactive video game,"['interactive', 'video', 'game']",interactive video game,0.0,0.0,0.0,1.0
B3_G3,B3,G,G3,contemplative; thought provoking; exciting;,contemplative thought provoking exciting,"['contemplative', 'thought', 'provoke', 'exciting']",contemplative thought provoke exciting,0.34,0.457,0.257,0.286
B3_G4,B3,G,G4,outcomes of how people experience different policing / player gets worse options via progression / different storylines with positive negative outcomes,outcomes of how people experience different policing player gets worse options via progression different storylines with positive negative outcomes,"['outcome', 'people', 'experience', 'different', 'policing', 'player', 'get', 'bad', 'option', 'progression', 'different', 'storyline', 'positive', 'negative', 'outcome']",outcome people experience different policing player get bad option progression different storyline positive negative outcome,-0.4939,0.136,0.258,0.606
B3_G5,B3,G,G5,become emotionally invested / game 'cash'' to buy things in life to succeed / with accomplishment surprises / twists /  consequences to prevent /,become emotionally invested game cash to buy things in life to succeed with accomplishment surprises twists consequences to prevent,"['emotionally', 'invest', 'game', 'cash', 'buy', 'thing', 'life', 'succeed', 'accomplishment', 'surprise', 'twist', 'consequence', 'prevent']",emotionally invest game cash buy thing life succeed accomplishment surprise twist consequence prevent,0.6369,0.279,0.0,0.721
B3_G6,B3,G,G6,actions to match real-world time limitations / feedback is on successful outcomes / good actions that have negative consequences / level up to fast forward through time,actions to match real world time limitations feedback is on successful outcomes good actions that have negative consequences level up to fast forward through time,"['action', 'match', 'real', 'world', 'time', 'limitation', 'feedback', 'successful', 'outcome', 'good', 'action', 'negative', 'consequence', 'level', 'fast', 'forward', 'time']",action match real world time limitation feedback successful outcome good action negative consequence level fast forward time,0.4588,0.207,0.114,0.679
B4_L1,B4,L,L1,police,police,['police'],police,0.0,0.0,0.0,1.0
B4_L2,B4,L,L2,Civilians with defined characteristics,civilians with defined characteristics,"['civilian', 'define', 'characteristic']",civilian define characteristic,0.0,0.0,0.0,1.0
B4_L3,B4,L,L3,Players will learn different aspects of police interactions and enviromental changes,players will learn different aspects of police interactions and enviromental changes,"['player', 'learn', 'different', 'aspect', 'police', 'interaction', 'enviromental', 'change']",player learn different aspect police interaction enviromental change,0.0,0.0,0.0,1.0
B4_L4,B4,L,L4,Understanding of different police interactions Empathy,understanding of different police interactions empathy,"['understanding', 'different', 'police', 'interaction', 'empathy']",understanding different police interaction empathy,0.0,0.0,0.0,1.0
B4_L5,B4,L,L5,Need to have : Ability to make decisions quickly  and effective communication,need to have ability to make decisions quickly and effective communication,"['need', 'ability', 'decision', 'quickly', 'effective', 'communication']",need ability decision quickly effective communication,0.6597,0.375,0.0,0.625
B4_L6,B4,L,L6,Insight into different interactions with law enforcement,insight into different interactions with law enforcement,"['insight', 'different', 'interaction', 'law', 'enforcement']",insight different interaction law enforcement,0.0,0.0,0.0,1.0
B4_L7,B4,L,L7,Assigned character demographics  and consequences of actions you choose,assigned character demographics and consequences of actions you choose,"['assign', 'character', 'demographic', 'consequence', 'action', 'choose']",assign character demographic consequence action choose,0.0,0.0,0.0,1.0
B4_L8,B4,L,L8,As many team members as possible reach the end,as many team members as possible reach the end,"['team', 'member', 'possible', 'reach', 'end']",team member possible reach end,0.0258,0.121,0.0,0.879
B4_L9,B4,L,L9,Need to have: Leadership skills,need to have leadership skills,"['need', 'leadership', 'skill']",need leadership skill,0.0,0.0,0.0,1.0
B4_S1,B4,S,S1,Kingdom invasion  and community must work together to surve,kingdom invasion and community must work together to surve,"['kingdom', 'invasion', 'community', 'work', 'surve']",kingdom invasion community work surve,0.0,0.0,0.0,1.0
B4_S2,B4,S,S2,Everyone interacts with civilians fashys,everyone interacts with civilians fashys,"['interact', 'civilian', 'fashy']",interact civilian fashy,0.0,0.0,0.0,1.0
B4_S3,B4,S,S3,There is no main character. its the civilians fashy,there is no main character its the civilians fashy,"['no', 'main', 'character', 'civilian', 'fashy']",no main character civilian fashy,-0.296,0.0,0.216,0.784
B4_G1,B4,G,G1,Fantasy,fantasy,['fantasy'],fantasy,0.0,0.0,0.0,1.0
B4_G2,B4,G,G2,opportunity to play the game several times from a different character,opportunity to play the game several times from a different character,"['opportunity', 'play', 'game', 'time', 'different', 'character']",opportunity play game time different character,0.6369,0.366,0.0,0.634
B4_G3,B4,G,G3,Empathy Fear,empathy fear,"['empathy', 'fear']",empathy fear,-0.4939,0.0,0.762,0.238
B4_G4,B4,G,G4,No levels,no levels,"['no', 'level']",no level,-0.296,0.0,0.688,0.312
B4_G5,B4,G,G5,each scenario card has a set of actions  and time limit,each scenario card has a set of actions and time limit,"['scenario', 'card', 'set', 'action', 'time', 'limit']",scenario card set action time limit,0.0,0.0,0.0,1.0
