unique_id,workshop_id,sn_type,sn_id,sn_content,sn_clean,sn_token,sn_token_str,compound_s,positive_s,negative_s,neutral_s
B1_G1,B1,G,G1,open mindedness; self reflection; innovation,open mindedness self reflection innovation,"['open', 'mindedness', 'self', 'reflection', 'innovation']",open mindedness self reflection innovation,0.3818,0.39399999999999996,0.0,0.606
B1_G2,B1,G,G2,Mostly flat but with different phases,mostly flat but with different phases,"['flat', 'different', 'phase']",flat different phase,0.0,0.0,0.0,1.0
B1_G3,B1,G,G3,good faith,good faith,"['good', 'faith']",good faith,0.6908,1.0,0.0,0.0
B1_G4,B1,G,G4,voting on their response,voting on their response,"['vote', 'response']",vote response,0.0,0.0,0.0,1.0
B1_G5,B1,G,G5,providing responses Feedback: response of the group time limit: twenty seconds for honesty rounds one minute for consensus,providing responses feedback response of the group time limit twenty seconds for honesty rounds one minute for consensus,"['provide', 'response', 'feedback', 'response', 'group', 'time', 'limit', 'second', 'honesty', 'round', 'minute', 'consensus']",provide response feedback response group time limit second honesty round minute consensus,0.4939,0.158,0.0,0.8420000000000001
B1_G6,B1,G,G6,Card game: apples to apples,card game apples to apples,"['card', 'game', 'apple', 'apple']",card game apple apple,0.0,0.0,0.0,1.0
B2_G1,B2,G,G1,card game,card game,"['card', 'game']",card game,0.0,0.0,0.0,1.0
B2_G2,B2,G,G2,"empathy, comedy laughter, frustration",empathy comedy laughter frustration,"['empathy', 'comedy', 'laughter', 'frustration']",empathy comedy laughter frustration,0.3818,0.5820000000000001,0.316,0.102
B2_G3,B2,G,G3,best team player; haunted theme park where things threaten your survival; gaining medals extra points; pride of winning if teams are made of groups within the same community region,best team player haunted theme park where things threaten your survival gaining medals extra points pride of winning if teams are made of groups within the same community region,"['good', 'team', 'player', 'haunt', 'theme', 'park', 'thing', 'threaten', 'survival', 'gain', 'medal', 'extra', 'point', 'pride', 'win', 'team', 'group', 'community', 'region']",good team player haunt theme park thing threaten survival gain medal extra point pride win team group community region,0.7964,0.308,0.13699999999999998,0.5539999999999999
B2_G4,B2,G,G4,multiple levels of difficulty to choose from - different stacks of cards,multiple levels of difficulty to choose from different stacks of cards,"['multiple', 'level', 'difficulty', 'choose', 'different', 'stack', 'card']",multiple level difficulty choose different stack card,-0.34,0.0,0.19399999999999998,0.8059999999999999
B2_G5,B2,G,G5,gain lose points for individual team,gain lose points for individual team,"['gain', 'lose', 'point', 'individual', 'team']",gain lose point individual team,0.1779,0.337,0.267,0.396
B2_G6,B2,G,G6,"play a card or not (trip the zombie, do nothing)",play a card or not trip the zombie do nothing,"['play', 'card', 'not', 'trip', 'zombie']",play card not trip zombie,0.34,0.21100000000000002,0.0,0.789
B3_G1,B3,G,G1,levels yes,levels yes,"['level', 'yes']",level yes,0.4019,0.73,0.0,0.27
B3_G2,B3,G,G2,interactive video game,interactive video game,"['interactive', 'video', 'game']",interactive video game,0.0,0.0,0.0,1.0
B3_G3,B3,G,G3,contemplative; thought provoking; exciting;,contemplative thought provoking exciting,"['contemplative', 'thought', 'provoke', 'exciting']",contemplative thought provoke exciting,0.34,0.457,0.257,0.28600000000000003
B3_G4,B3,G,G4,outcomes of how people experience different policing / player gets worse options via progression / different storylines with positive negative outcomes,outcomes of how people experience different policing player gets worse options via progression different storylines with positive negative outcomes,"['outcome', 'people', 'experience', 'different', 'policing', 'player', 'get', 'bad', 'option', 'progression', 'different', 'storyline', 'positive', 'negative', 'outcome']",outcome people experience different policing player get bad option progression different storyline positive negative outcome,-0.4939,0.136,0.258,0.606
B3_G5,B3,G,G5,become emotionally invested / game 'cash'' to buy things in life to succeed / with accomplishment surprises / twists /  consequences to prevent /,become emotionally invested game cash to buy things in life to succeed with accomplishment surprises twists consequences to prevent,"['emotionally', 'invest', 'game', 'cash', 'buy', 'thing', 'life', 'succeed', 'accomplishment', 'surprise', 'twist', 'consequence', 'prevent']",emotionally invest game cash buy thing life succeed accomplishment surprise twist consequence prevent,0.6369,0.27899999999999997,0.0,0.721
B3_G6,B3,G,G6,actions to match real-world time limitations / feedback is on successful outcomes / good actions that have negative consequences / level up to fast forward through time,actions to match real world time limitations feedback is on successful outcomes good actions that have negative consequences level up to fast forward through time,"['action', 'match', 'real', 'world', 'time', 'limitation', 'feedback', 'successful', 'outcome', 'good', 'action', 'negative', 'consequence', 'level', 'fast', 'forward', 'time']",action match real world time limitation feedback successful outcome good action negative consequence level fast forward time,0.4588,0.207,0.114,0.679
B4_G1,B4,G,G1,Fantasy,fantasy,['fantasy'],fantasy,0.0,0.0,0.0,1.0
B4_G2,B4,G,G2,opportunity to play the game several times from a different character,opportunity to play the game several times from a different character,"['opportunity', 'play', 'game', 'time', 'different', 'character']",opportunity play game time different character,0.6369,0.366,0.0,0.634
B4_G3,B4,G,G3,Empathy Fear,empathy fear,"['empathy', 'fear']",empathy fear,-0.4939,0.0,0.762,0.23800000000000002
B4_G4,B4,G,G4,No levels,no levels,"['no', 'level']",no level,-0.29600000000000004,0.0,0.688,0.312
B4_G5,B4,G,G5,each scenario card has a set of actions  and time limit,each scenario card has a set of actions and time limit,"['scenario', 'card', 'set', 'action', 'time', 'limit']",scenario card set action time limit,0.0,0.0,0.0,1.0
B4_G6,B4,G,G6,Indignation,indignation,['indignation'],indignation,-0.5267,0.0,1.0,0.0
B4_G7,B4,G,G7,Frustration,frustration,['frustration'],frustration,-0.4767,0.0,1.0,0.0
B4_G8,B4,G,G8,You can source feedback but no interactions with other players,you can source feedback but no interactions with other players,"['source', 'feedback', 'no', 'interaction', 'player']",source feedback no interaction player,-0.4215,0.0,0.237,0.763
B4_G9,B4,G,G9,each action has various outcomes such as (jail death fines verbal warrants etc.),each action has various outcomes such as jail death fines verbal warrants etc,"['action', 'outcome', 'jail', 'death', 'fine', 'verbal', 'warrant', 'etc']",action outcome jail death fine verbal warrant etc,-0.5994,0.0,0.245,0.755
