unique_id,workshop_id,sn_type,sn_id,sn_content,sn_clean,sn_token,sn_token_str,compound_s,positive_s,negative_s,neutral_s
B1_S1,B1,S,S1,garden variety policing interaction and work your way up,garden variety policing interaction and work your way up,"['garden', 'variety', 'policing', 'interaction', 'work', 'way']",garden variety policing interaction work way,0.0,0.0,0.0,1.0
B1_S2,B1,S,S2,cops and community members; not assuming roles,cops and community members not assuming roles,"['cop', 'community', 'member', 'not', 'assume', 'role']",cop community member not assume role,0.0,0.0,0.0,1.0
B1_S3,B1,S,S3,everyone is their own main and secondary character,everyone is their own main and secondary character,"['main', 'secondary', 'character']",main secondary character,0.0,0.0,0.0,1.0
B1_S4,B1,S,S4,Interact with eachother (the other players) they are having dialogues with each other,interact with eachother the other players they are having dialogues with each other,"['interact', 'eachother', 'player', 'have', 'dialogue']",interact eachother player have dialogue,0.0,0.0,0.0,1.0
B1_S5,B1,S,S5,reality and the world we want,reality and the world we want,"['reality', 'world', 'want']",reality world want,0.0772,0.20600000000000002,0.0,0.794
B2_S1,B2,S,S1,urban adventure; survival; theme park,urban adventure survival theme park,"['urban', 'adventure', 'survival', 'theme', 'park']",urban adventure survival theme park,0.3182,0.365,0.0,0.635
B2_S2,B2,S,S2,primary  your neighborhood community (tracy's park example) secondary  those trying to prevent your success slow you down,primary your neighborhood community tracy s park example secondary those trying to prevent your success slow you down,"['primary', 'neighborhood', 'community', 'tracy', 's', 'park', 'example', 'secondary', 'try', 'prevent', 'success', 'slow']",primary neighborhood community tracy s park example secondary try prevent success slow,0.5859,0.231,0.0,0.769
B2_S3,B2,S,S3,"interacting with seconday characters and each other, also the obstacles they're trying to overcome",interacting with seconday characters and each other also the obstacles they re trying to overcome,"['interact', 'seconday', 'character', 'obstacle', 'try', 'overcome']",interact seconday character obstacle try overcome,-0.3818,0.0,0.157,0.843
B3_S1,B3,S,S1,regular person moving through life doing regular things in a heavily policed community with challenges outside of characater Control,regular person moving through life doing regular things in a heavily policed community with challenges outside of characater control,"['regular', 'person', 'move', 'life', 'regular', 'thing', 'heavily', 'police', 'community', 'challenge', 'outside', 'characater', 'control']",regular person move life regular thing heavily police community challenge outside characater control,0.0772,0.067,0.0,0.9329999999999999
B3_S2,B3,S,S2,real life so that people learn,real life so that people learn,"['real', 'life', 'people', 'learn']",real life people learn,0.0,0.0,0.0,1.0
