unique_id,workshop_id,sn_type,sn_id,sn_content,sn_clean,sn_token,sn_token_str,compound_s,positive_s,negative_s,neutral_s
beta_L1,beta,L,L1,No knowledge needed to play; soft skills re: empathy & conflict resolution and facts re: inequities in policing,no knowledge needed to play soft skills re empathy conflict resolution and facts re inequities in policing,"['no', 'knowledge', 'need', 'play', 'soft', 'skill', 'empathy', 'conflict', 'resolution', 'fact', 'inequity', 'police']",no knowledge need play soft skill empathy conflict resolution fact inequity police,-0.2732,0.115,0.215,0.67
beta_L2,beta,L,L2,Role shifting and resolution of conflict,role shifting and resolution of conflict,"['role', 'shifting', 'resolution', 'conflict']",role shifting resolution conflict,-0.3182,0.0,0.315,0.685
beta_L3,beta,L,L3,Who's playing? police officers & community members; patrol officers,who s playing police officers community members patrol officers,"['s', 'play', 'police', 'officer', 'community', 'member', 'patrol', 'officer']",s play police officer community member patrol officer,0.2023,0.184,0.0,0.816
beta_L4,beta,L,L4,Goal: establish empathy for others' experience through moving through simulated role changes,goal establish empathy for others experience through moving through simulated role changes,"['goal', 'establish', 'empathy', 'experience', 'move', 'simulate', 'role', 'change']",goal establish empathy experience move simulate role change,0.0,0.0,0.0,1.0
beta_L5,beta,L,L5,Learning outcomes: differential understandings between community & police (racial & police status),learning outcomes differential understandings between community police racial police status,"['learn', 'outcome', 'differential', 'understanding', 'community', 'police', 'racial', 'police', 'status']",learn outcome differential understanding community police racial police status,0.0,0.0,0.0,1.0
beta_S1,beta,S,S1,Plot: given a situation up front based on real-world police-community conflict & need to figure out how to resolve together,plot given a situation up front based on real world police community conflict need to figure out how to resolve together,"['plot', 'give', 'situation', 'base', 'real', 'world', 'police', 'community', 'conflict', 'need', 'figure', 'resolve']",plot give situation base real world police community conflict need figure resolve,0.0772,0.109,0.096,0.795
beta_S2,beta,S,S2,"Setting: real-world, city, diverse population",setting real world city diverse population,"['set', 'real', 'world', 'city', 'diverse', 'population']",set real world city diverse population,0.0,0.0,0.0,1.0
beta_S3,beta,S,S3,"Characters: two main groups - police & community, subroles depending on the scenario",characters two main groups police community subroles depending on the scenario,"['character', 'main', 'group', 'police', 'community', 'subrole', 'depend', 'scenario']",character main group police community subrole depend scenario,0.0,0.0,0.0,1.0
beta_S4,beta,S,S4,Players should always feel like they're the main character in their own story; there are also secondary/ impartial characters,players should always feel like they re the main character in their own story there are also secondary impartial characters,"['player', 'feel', 'like', 'main', 'character', 'story', 'secondary', 'impartial', 'character']",player feel like main character story secondary impartial character,0.3612,0.116,0.0,0.884
beta_G1,beta,G,G1,empathy,empathy,['empathy'],empathy,0.0,0.0,0.0,1.0
beta_G2,beta,G,G2,There is a problem that needs to be solved that would benefit both sides if solved. Collective score motivates sustained engagement.,there is a problem that needs to be solved that would benefit both sides if solved collective score motivates sustained engagement,"['problem', 'need', 'solve', 'benefit', 'side', 'solve', 'collective', 'score', 'motivate', 'sustained', 'engagement']",problem need solve benefit side solve collective score motivate sustained engagement,0.7579,0.353,0.093,0.554
beta_G3,beta,G,G3,"After a stop, options of typical actions (discussion-based)",after a stop options of typical actions discussion based,"['stop', 'option', 'typical', 'action', 'discussion', 'base']",stop option typical action discussion base,-0.296,0.0,0.216,0.784
beta_G4,beta,G,G4,role playing table top game (virtual capability),role playing table top game virtual capability,"['role', 'playing', 'table', 'game', 'virtual', 'capability']",role playing table game virtual capability,0.3818,0.419,0.0,0.581
beta_G5,beta,G,G5,"Shift role throughout the game, may start as police officer and then switch to different identities at different levels",shift role throughout the game may start as police officer and then switch to different identities at different levels,"['shift', 'role', 'game', 'start', 'police', 'officer', 'switch', 'different', 'identity', 'different', 'level']",shift role game start police officer switch different identity different level,0.0,0.0,0.0,1.0
beta_U1,beta,U,U1,"Not provided, user can provide for themselves if they feel they are progressing",not provided user can provide for themselves if they feel they are progressing,"['not', 'provide', 'user', 'provide', 'feel', 'progress']",not provide user provide feel progress,0.0,0.0,0.0,1.0
beta_U2,beta,U,U2,everyone will know the result of feedback because decided together,everyone will know the result of feedback because decided together,"['know', 'result', 'feedback', 'decide']",know result feedback decide,0.0,0.0,0.0,1.0
