unique_id,workshop_id,sn_type,sn_id,sn_content,sn_clean,sn_token,sn_token_str,compound_s,positive_s,negative_s,neutral_s
loa_L1,loa,L,L1,immediate reflection as witness action effects + later reflection once see all other possible scenario,immediate reflection as witness action effects  later reflection once see all other possible scenario,"['immediate', 'reflection', 'witness', 'action', 'effect', 'later', 'reflection', 'possible', 'scenario']",immediate reflection witness action effect later reflection possible scenario,0.0,0.0,0.0,1.0
loa_L2,loa,L,L2,"multiplayer, police officers, community members (get insight)",multiplayer police officers community members get insight,"['multiplayer', 'police', 'officer', 'community', 'member', 'insight']",multiplayer police officer community member insight,0.0,0.0,0.0,1.0
loa_L3,loa,L,L3,"questions during the game (surprising) and after the game, WHY?",questions during the game surprising and after the game why,"['question', 'game', 'surprising', 'game']",question game surprising game,0.2732,0.189,0.0,0.811
loa_L4,loa,L,L4,crowdsourcing from community members to see difference between the two,crowdsourcing from community members to see difference between the two,"['crowdsource', 'community', 'member', 'difference']",crowdsource community member difference,0.0,0.0,0.0,1.0
loa_L5,loa,L,L5,"learning on police bias (what it is, how to recognize it, how its bad, and how to act on it)",learning on police bias what it is how to recognize it how its bad and how to act on it,"['learn', 'police', 'bias', 'recognize', 'bad', 'act']",learn police bias recognize bad act,-0.5994,0.0,0.214,0.786
loa_L6,loa,L,L6,community players (gathering info) police (distributing),community players gathering info police distributing,"['community', 'player', 'gather', 'info', 'police', 'distribute']",community player gather info police distribute,0.0,0.0,0.0,1.0
loa_L7,loa,L,L7,"explain whats wrong with current COP and how to improve, discover new perspectives",explain whats wrong with current cop and how to improve discover new perspectives,"['explain', 's', 'wrong', 'current', 'cop', 'improve', 'discover', 'new', 'perspective']",explain s wrong current cop improve discover new perspective,-0.0516,0.171,0.182,0.647
loa_L8,loa,L,L8,"be a licensed cop, gained: insight, broader analysis of what policing is and what effect it has on people's lives",be a licensed cop gained insight broader analysis of what policing is and what effect it has on people s lives,"['licensed', 'cop', 'gain', 'insight', 'broad', 'analysis', 'policing', 'effect', 'people', 's', 'life']",licensed cop gain insight broad analysis policing effect people s life,0.3818,0.115,0.0,0.885
loa_L9,loa,L,L9,be a community members who deals with police regulary (subject),be a community members who deals with police regulary subject,"['community', 'member', 'deal', 'police', 'regulary', 'subject']",community member deal police regulary subject,0.0,0.0,0.0,1.0
loa_S1,loa,S,S1,"the plot is up to the players, it develops based on how people play the game",the plot is up to the players it develops based on how people play the game,"['plot', 'player', 'develop', 'base', 'people', 'play', 'game']",plot player develop base people play game,0.34,0.138,0.0,0.862
loa_S2,loa,S,S2,"some structure, with possibility to look back at the end",some structure with possibility to look back at the end,"['structure', 'possibility', 'look', 'end']",structure possibility look end,0.0,0.0,0.0,1.0
loa_S3,loa,S,S3,"""criminals"" + cop",criminals  cop,"['criminal', 'cop']",criminal cop,-0.5719,0.0,0.787,0.213
loa_S4,loa,S,S4,setting similar to parciticipant lives,setting similar to parciticipant lives,"['set', 'similar', 'parciticipant', 'life']",set similar parciticipant life,0.0,0.0,0.0,1.0
loa_S5,loa,S,S5,main protagonist (cop + partner) + people they interact with,main protagonist cop  partner  people they interact with,"['main', 'protagonist', 'cop', 'partner', 'people', 'interact']",main protagonist cop partner people interact,0.0,0.0,0.0,1.0
loa_S6,loa,S,S6,characters role reversed for community they end up on the police end,characters role reversed for community they end up on the police end,"['character', 'role', 'reverse', 'community', 'end', 'police', 'end']",character role reverse community end police end,0.0,0.0,0.0,1.0
loa_S7,loa,S,S7,people as main player and cop as second play,people as main player and cop as second play,"['people', 'main', 'player', 'cop', 'second', 'play']",people main player cop second play,0.34,0.231,0.0,0.769
loa_S8,loa,S,S8,explicit and relatable setting,explicit and relatable setting,"['explicit', 'relatable', 'setting']",explicit relatable setting,0.0,0.0,0.0,1.0
loa_S9,loa,S,S9,"cops, community members",cops community members,"['cop', 'community', 'member']",cop community member,0.0,0.0,0.0,1.0
loa_G1,loa,G,G1,"different levels, different parts, evolving",different levels different parts evolving,"['different', 'level', 'different', 'part', 'evolve']",different level different part evolve,0.0,0.0,0.0,1.0
loa_G2,loa,G,G2,illustrative/ visuals and people's interpretations based game,illustrative visuals and people s interpretations based game,"['illustrative', 'visual', 'people', 's', 'interpretation', 'base', 'game']",illustrative visual people s interpretation base game,0.0,0.0,0.0,1.0
