sn_type,sent_cat,count,dataset
G,Negative,24,Total Disaggregated
G,Neutral,27,Total Disaggregated
G,Positive,33,Total Disaggregated
L,Negative,19,Total Disaggregated
L,Neutral,33,Total Disaggregated
L,Positive,27,Total Disaggregated
S,Negative,10,Total Disaggregated
S,Neutral,35,Total Disaggregated
S,Positive,12,Total Disaggregated
U,Negative,1,Total Disaggregated
U,Neutral,6,Total Disaggregated
U,Positive,13,Total Disaggregated
G,Negative,13,A Disaggregated
G,Neutral,14,A Disaggregated
G,Positive,16,A Disaggregated
L,Negative,14,A Disaggregated
L,Neutral,15,A Disaggregated
L,Positive,17,A Disaggregated
S,Negative,8,A Disaggregated
S,Neutral,22,A Disaggregated
S,Positive,4,A Disaggregated
U,Negative,1,A Disaggregated
U,Neutral,1,A Disaggregated
U,Positive,12,A Disaggregated
G,Negative,11,B Disaggregated
G,Neutral,13,B Disaggregated
G,Positive,17,B Disaggregated
L,Negative,5,B Disaggregated
L,Neutral,18,B Disaggregated
L,Positive,10,B Disaggregated
S,Negative,2,B Disaggregated
S,Neutral,13,B Disaggregated
S,Positive,8,B Disaggregated
U,Neutral,5,B Disaggregated
U,Positive,1,B Disaggregated
