unique_id,workshop_id,sn_type,sn_id,sn_content,sn_clean,sn_token,sn_token_str,compound_s,positive_s,negative_s,neutral_s
A1_G1,A1,G,G1,Motivation is through satisfaction of becoming educated and skilled at the game.,motivation is through satisfaction of becoming educated and skilled at the game,"['motivation', 'satisfaction', 'educate', 'skilled', 'game']",motivation satisfaction educate skilled game,0.6486,0.34600000000000003,0.0,0.654
A1_G2,A1,G,G2,video game,video game,"['video', 'game']",video game,0.0,0.0,0.0,1.0
A1_G3,A1,G,G3,"Agree / Disagree to various situations.  Time limit to increase entertainement / replayability, but long enough to allow for a proper analysis.",agree disagree to various situations time limit to increase entertainement replayability but long enough to allow for a proper analysis,"['agree', 'disagree', 'situation', 'time', 'limit', 'increase', 'entertainement', 'replayability', 'long', 'allow', 'proper', 'analysis']",agree disagree situation time limit increase entertainement replayability long allow proper analysis,0.4497,0.244,0.076,0.679
A1_G4,A1,G,G4,"empathy, understanding, compassion, wonder,",empathy understanding compassion wonder,"['empathy', 'understand', 'compassion', 'wonder']",empathy understand compassion wonder,0.4588,0.5,0.0,0.5
A1_G5,A1,G,G5,Depending on actions there will be an outcome of lower / higher scores.,depending on actions there will be an outcome of lower higher scores,"['depend', 'action', 'outcome', 'low', 'high', 'score']",depend action outcome low high score,-0.29600000000000004,0.0,0.16699999999999998,0.833
A1_G6,A1,G,G6,"Levels, once a tutorial is finished",levels once a tutorial is finished,"['level', 'tutorial', 'finish']",level tutorial finish,0.0,0.0,0.0,1.0
A2_G1,A2,G,G1,"Motivation sustained through points / winning Forced to play the game, motivated by not getting fired.",motivation sustained through points winning forced to play the game motivated by not getting fired,"['motivation', 'sustain', 'point', 'win', 'force', 'play', 'game', 'motivate', 'not', 'getting', 'fire']",motivation sustain point win force play game motivate not getting fire,0.8786,0.541,0.115,0.345
A2_G2,A2,G,G2,Multi-level,multi level,"['multi', 'level']",multi level,0.0,0.0,0.0,1.0
A2_G3,A2,G,G3,Card Game,card game,"['card', 'game']",card game,0.0,0.0,0.0,1.0
A2_G4,A2,G,G4,Taking / discarding cards sixty seconds per action Feedback through points (each action has some number of points),taking discarding cards sixty seconds per action feedback through points each action has some number of points,"['take', 'discard', 'card', 'second', 'action', 'feedback', 'point', 'action', 'number', 'point']",take discard card second action feedback point action number point,-0.1027,0.07200000000000001,0.094,0.833
