unique_id,workshop_id,sn_type,sn_id,sn_content,sn_clean,sn_token,sn_token_str,compound_s,positive_s,negative_s,neutral_s
A1_L1,A1,L,L1,"Analyzing cases, side games to stay engaged, making final decisions",analyzing cases side games to stay engaged making final decisions,"['analyze', 'case', 'game', 'stay', 'engaged', 'make', 'final', 'decision']",analyze case game stay engaged make final decision,0.4019,0.231,0.0,0.769
A1_L2,A1,L,L2,ten plus,ten plus,['plus'],plus,0.0,0.0,0.0,1.0
A1_L3,A1,L,L3,Teach a more thorough understanding of racial bias in a simple manner.,teach a more thorough understanding of racial bias in a simple manner,"['teach', 'thorough', 'understanding', 'racial', 'bias', 'simple', 'manner']",teach thorough understanding racial bias simple manner,-0.1027,0.0,0.113,0.887
A1_L4,A1,L,L4,"General knowledge of vocabulary, brief trial / court knowledge, a better understanding of racial injustice",general knowledge of vocabulary brief trial court knowledge a better understanding of racial injustice,"['general', 'knowledge', 'vocabulary', 'brief', 'trial', 'court', 'knowledge', 'well', 'understanding', 'racial', 'injustice']",general knowledge vocabulary brief trial court knowledge well understanding racial injustice,-0.2023,0.156,0.19899999999999998,0.645
A1_L5,A1,L,L5,Beat all the levels (achieve a stronger knowledge of racial injustice / bias / discrimination.),beat all the levels achieve a stronger knowledge of racial injustice bias discrimination,"['beat', 'level', 'achieve', 'strong', 'knowledge', 'racial', 'injustice', 'bias', 'discrimination']",beat level achieve strong knowledge racial injustice bias discrimination,-0.3612,0.147,0.28800000000000003,0.565
A2_L1,A2,L,L1,Skills / knowledge required: Of the judicial system. Current state of policing Racial biases Skills / knowledge gained: Deeper understanding of personal biases and how to challenge them.,skills knowledge required of the judicial system current state of policing racial biases skills knowledge gained deeper understanding of personal biases and how to challenge them,"['skill', 'knowledge', 'require', 'judicial', 'system', 'current', 'state', 'police', 'racial', 'bias', 'skill', 'knowledge', 'gain', 'deep', 'understanding', 'personal', 'bias', 'challenge']",skill knowledge require judicial system current state police racial bias skill knowledge gain deep understanding personal bias challenge,0.4404,0.14,0.0,0.86
A2_L2,A2,L,L2,Player: Offices in Training,player offices in training,"['player', 'office', 'training']",player office training,0.0,0.0,0.0,1.0
A2_L3,A2,L,L3,Goal: Collect Points,goal collect points,"['goal', 'collect', 'point']",goal collect point,0.0,0.0,0.0,1.0
A2_L4,A2,L,L4,Challenge: Resolving Racial Bias,challenge resolving racial bias,"['challenge', 'resolve', 'racial', 'bias']",challenge resolve racial bias,0.3612,0.619,0.222,0.159
A2_L5,A2,L,L5,Activities: Walking through a vague scenario.,activities walking through a vague scenario,"['activity', 'walk', 'vague', 'scenario']",activity walk vague scenario,-0.1027,0.0,0.21899999999999997,0.7809999999999999
A3_L1,A3,L,L1,to overcome the learning challenges; identify ways of incorporating those outcomes in the day-to-day; challenging one's own habits and patterns; self-forgiveness; modelling trust as a way to achieving safety,to overcome the learning challenges identify ways of incorporating those outcomes in the day to day challenging one s own habits and patterns self forgiveness modelling trust as a way to achieving safety,"['overcome', 'learning', 'challenge', 'identify', 'way', 'incorporate', 'outcome', 'day', 'day', 'challenge', 's', 'habit', 'pattern', 'self', 'forgiveness', 'modelling', 'trust', 'way', 'achieve', 'safety']",overcome learning challenge identify way incorporate outcome day day challenge s habit pattern self forgiveness modelling trust way achieve safety,0.8442,0.284,0.0,0.716
A3_L2,A3,L,L2,anyone; police officers; community members involved in policing; elected officials; teachers; students; school administration; justice advocates; mental health professionals; law and policy makers; community advocate working to influence policy; university proessirs; university administrators,anyone police officers community members involved in policing elected officials teachers students school administration justice advocates mental health professionals law and policy makers community advocate working to influence policy university proessirs university administrators,"['police', 'officer', 'community', 'member', 'involve', 'police', 'elect', 'official', 'teacher', 'student', 'school', 'administration', 'justice', 'advocate', 'mental', 'health', 'professional', 'law', 'policy', 'maker', 'community', 'advocate', 'work', 'influence', 'policy', 'university', 'proessir', 'university', 'administrator']",police officer community member involve police elect official teacher student school administration justice advocate mental health professional law policy maker community advocate work influence policy university proessir university administrator,0.5267,0.096,0.0,0.904
A3_L3,A3,L,L3,how to empathize; how to identify one's own unconscious biases; how to share one's own experience; how to be vulnerable in sharing personal experience; recognizing mistakes; recognizing patterns of bias or racial injustice in the community; how to recognize that change can happen / developing hopefulness,how to empathize how to identify one s own unconscious biases how to share one s own experience how to be vulnerable in sharing personal experience recognizing mistakes recognizing patterns of bias or racial injustice in the community how to recognize that change can happen developing hopefulness,"['empathize', 'identify', 's', 'unconscious', 'bias', 'share', 's', 'experience', 'vulnerable', 'share', 'personal', 'experience', 'recognize', 'mistake', 'recognize', 'pattern', 'bias', 'racial', 'injustice', 'community', 'recognize', 'change', 'happen', 'develop', 'hopefulness']",empathize identify s unconscious bias share s experience vulnerable share personal experience recognize mistake recognize pattern bias racial injustice community recognize change happen develop hopefulness,-0.2263,0.133,0.166,0.701
A3_L4,A3,L,L4,game design; there is a time barrier to communicate what one knows of the story to other players,game design there is a time barrier to communicate what one knows of the story to other players,"['game', 'design', 'time', 'barrier', 'communicate', 'know', 'story', 'player']",game design time barrier communicate know story player,-0.128,0.0,0.081,0.919
A3_L5,A3,L,L5,"Given one scenario and certain restrictions, the players will try to communcate the 'story' to each other. At the beginning players are given prompt cards about their situation that only they have knowledge about. other players have to understand what the issues are but there are limitatons to communication. Other players might have limited information such as racial identify. The learning outcome is to work around communication barriers and to identify the implicit assmptions or biases. Resources to better understand things come later.",given one scenario and certain restrictions the players will try to communcate the story to each other at the beginning players are given prompt cards about their situation that only they have knowledge about other players have to understand what the issues are but there are limitatons to communication other players might have limited information such as racial identify the learning outcome is to work around communication barriers and to identify the implicit assmptions or biases resources to better understand things come later,"['give', 'scenario', 'certain', 'restriction', 'player', 'try', 'communcate', 'story', 'begin', 'player', 'give', 'prompt', 'card', 'situation', 'knowledge', 'player', 'understand', 'issue', 'limitaton', 'communication', 'player', 'limited', 'information', 'racial', 'identify', 'learning', 'outcome', 'work', 'communication', 'barrier', 'identify', 'implicit', 'assmption', 'bias', 'resource', 'well', 'understand', 'thing', 'come', 'later']",give scenario certain restriction player try communcate story begin player give prompt card situation knowledge player understand issue limitaton communication player limited information racial identify learning outcome work communication barrier identify implicit assmption bias resource well understand thing come later,0.4678,0.062,0.027000000000000003,0.912
A3_L6,A3,L,L6,Little skills or knowledge required. Same spoken language. Cursory knowledge of the mental health and policing systems in USA. (or maybe not! could be gained in game). Skills and knowledge gained: awareness of implicit bias; better communication; identification of communication needs; dealing with the time barrier to understand why people don't access specific resources; How to make a care plan,little skills or knowledge required same spoken language cursory knowledge of the mental health and policing systems in usa or maybe not could be gained in game skills and knowledge gained awareness of implicit bias better communication identification of communication needs dealing with the time barrier to understand why people don t access specific resources how to make a care plan,"['little', 'skill', 'knowledge', 'require', 'spoken', 'language', 'cursory', 'knowledge', 'mental', 'health', 'policing', 'system', 'usa', 'maybe', 'not', 'gain', 'game', 'skill', 'knowledge', 'gain', 'awareness', 'implicit', 'bias', 'well', 'communication', 'identification', 'communication', 'need', 'deal', 'time', 'barrier', 'understand', 'people', 'don', 't', 'access', 'specific', 'resource', 'care', 'plan']",little skill knowledge require spoken language cursory knowledge mental health policing system usa maybe not gain game skill knowledge gain awareness implicit bias well communication identification communication need deal time barrier understand people don t access specific resource care plan,0.6824,0.126,0.07400000000000001,0.8
A4_L1,A4,L,L1,Feedback on how you played the game Shifting perspectives Player interaction,feedback on how you played the game shifting perspectives player interaction,"['feedback', 'play', 'game', 'shift', 'perspective', 'player', 'interaction']",feedback play game shift perspective player interaction,0.34,0.19399999999999998,0.0,0.8059999999999999
A4_L2,A4,L,L2,"Need knowledge, intuition, streets smarts Game accessible to everyone Gain: different perspectives",need knowledge intuition streets smarts game accessible to everyone gain different perspectives,"['need', 'knowledge', 'intuition', 'street', 'smart', 'game', 'accessible', 'gain', 'different', 'perspective']",need knowledge intuition street smart game accessible gain different perspective,0.7184,0.375,0.0,0.625
A4_L3,A4,L,L3,understanding just okaying the game to play it all about the side quest each character could have its own individual drive (challenge & a goal) realistic behaviour behave in a way that you think is good,understanding just okaying the game to play it all about the side quest each character could have its own individual drive challenge a goal realistic behaviour behave in a way that you think is good,"['understanding', 'okay', 'game', 'play', 'quest', 'character', 'individual', 'drive', 'challenge', 'goal', 'realistic', 'behaviour', 'behave', 'way', 'think', 'good']",understanding okay game play quest character individual drive challenge goal realistic behaviour behave way think good,0.6808,0.171,0.0,0.8290000000000001
A4_L4,A4,L,L4,partially understanding other perspectives coproducing a solution to community oriented policing compassion between community members and cops making cops understand their role in the community on a broader structural level / reevaluation of their role,partially understanding other perspectives coproducing a solution to community oriented policing compassion between community members and cops making cops understand their role in the community on a broader structural level reevaluation of their role,"['partially', 'understand', 'perspective', 'coproduce', 'solution', 'community', 'orient', 'policing', 'compassion', 'community', 'member', 'cop', 'make', 'cop', 'understand', 'role', 'community', 'broad', 'structural', 'level', 'reevaluation', 'role']",partially understand perspective coproduce solution community orient policing compassion community member cop make cop understand role community broad structural level reevaluation role,0.6486,0.142,0.0,0.858
A4_L5,A4,L,L5,community members cops played separately  or sometimes together? specific characters: different characters with different interests,community members cops played separately or sometimes together specific characters different characters with different interests,"['community', 'member', 'cop', 'play', 'separately', 'specific', 'character', 'different', 'character', 'different', 'interest']",community member cop play separately specific character different character different interest,0.5267,0.253,0.0,0.747
A5_L1,A5,L,L1,reduced bias in own actions,reduced bias in own actions,"['reduce', 'bias', 'action']",reduce bias action,-0.1027,0.0,0.259,0.741
A5_L2,A5,L,L2,statistics fact checking,statistics fact checking,"['statistic', 'fact', 'check']",statistic fact check,0.0,0.0,0.0,1.0
A5_L3,A5,L,L3,understanding own bias,understanding own bias,"['understand', 'bias']",understand bias,-0.1027,0.0,0.41200000000000003,0.588
A5_L4,A5,L,L4,police academy students,police academy students,"['police', 'academy', 'student']",police academy student,0.0,0.0,0.0,1.0
A5_L5,A5,L,L5,rewards and penalties,rewards and penalties,"['reward', 'penalty']",reward penalty,0.4767,0.608,0.0,0.392
A5_L6,A5,L,L6,tradeoffs,tradeoffs,['tradeoff'],tradeoff,0.0,0.0,0.0,1.0
A5_L7,A5,L,L7,video,video,['video'],video,0.0,0.0,0.0,1.0
A5_L8,A5,L,L8,roleplay,roleplay,['roleplay'],roleplay,0.0,0.0,0.0,1.0
A5_L9,A5,L,L9,how bias is experienced,how bias is experienced,"['bias', 'experience']",bias experience,-0.1027,0.0,0.318,0.682
A5_L10,A5,L,L10,understanding racial bias,understanding racial bias,"['understand', 'racial', 'bias']",understand racial bias,-0.1027,0.0,0.41200000000000003,0.588
A5_L11,A5,L,L11,what bias looks like,what bias looks like,"['bias', 'look', 'like']",bias look like,0.2732,0.424,0.237,0.33899999999999997
