unique_id,workshop_id,sn_type,sn_id,sn_content,sn_clean,sn_token,sn_token_str,compound_s,positive_s,negative_s,neutral_s
A1_U1,A1,U,U1,"No, results are personal and are to be interpreted by the player themselves",no results are personal and are to be interpreted by the player themselves,"['no', 'result', 'personal', 'interpret', 'player']",no result personal interpret player,-0.29600000000000004,0.0,0.155,0.845
A1_U2,A1,U,U2,Progress reports upon completion of each level and ability to go back to previous reports in a data collection window.,progress reports upon completion of each level and ability to go back to previous reports in a data collection window,"['progress', 'report', 'completion', 'level', 'ability', 'previous', 'report', 'datum', 'collection', 'window']",progress report completion level ability previous report datum collection window,0.6249,0.221,0.0,0.779
A2_U1,A2,U,U1,Can share results,can share results,"['share', 'result']",share result,0.29600000000000004,0.524,0.0,0.47600000000000003
A2_U2,A2,U,U2,Sharing Total Points,sharing total points,"['share', 'total', 'point']",share total point,0.4215,0.583,0.0,0.41700000000000004
A2_U3,A2,U,U3,Progress : Reported through points.,progress reported through points,"['progress', 'report', 'point']",progress report point,0.4215,0.483,0.0,0.517
A2_U4,A2,U,U4,Progress Points,progress points,"['progress', 'point']",progress point,0.4215,0.737,0.0,0.263
A3_U1,A3,U,U1,Yes sharing in group discussion. Disclosure is important.,yes sharing in group discussion disclosure is important,"['yes', 'share', 'group', 'discussion', 'disclosure', 'important']",yes share group discussion disclosure important,0.743,0.593,0.0,0.40700000000000003
A3_U2,A3,U,U2,At different stages there are debriefs about every players' interpretation about what's going on.,at different stages there are debriefs about every players interpretation about what s going on,"['different', 'stage', 'debrief', 'player', 'interpretation', 's', 'go']",different stage debrief player interpretation s go,0.0,0.0,0.0,1.0
A4_U1,A4,U,U1,Yes,yes,['yes'],yes,0.4019,1.0,0.0,0.0
A4_U2,A4,U,U2,Progress: Characters level up and gain resources currencies Evaluations of character progress,progress characters level up and gain resources currencies evaluations of character progress,"['progress', 'character', 'level', 'gain', 'resource', 'currency', 'evaluation', 'character', 'progress']",progress character level gain resource currency evaluation character progress,0.8402,0.5,0.0,0.5
A4_U3,A4,U,U3,Allow people to share if they want - Safe space Final player summaries evaluations,allow people to share if they want safe space final player summaries evaluations,"['allow', 'people', 'share', 'want', 'safe', 'space', 'final', 'player', 'summary', 'evaluation']",allow people share want safe space final player summary evaluation,0.743,0.48,0.0,0.52
A6_U1,A6,U,U1,share game results: yes,share game results yes,"['share', 'game', 'result', 'yes']",share game result yes,0.5994,0.71,0.0,0.29
A6_U2,A6,U,U2,progress reports: report shown only when player stops at end. Analysis has to be nuanced and insightful,progress reports report shown only when player stops at end analysis has to be nuanced and insightful,"['progress', 'report', 'report', 'show', 'player', 'stop', 'end', 'analysis', 'nuanced', 'insightful']",progress report report show player stop end analysis nuanced insightful,0.29600000000000004,0.14400000000000002,0.08199999999999999,0.773
A6_U3,A6,U,U3,"results shared: built into the game, results shown anonymous but no choice, nameless statistics on areas, voluntarily share",results shared built into the game results shown anonymous but no choice nameless statistics on areas voluntarily share,"['result', 'shared', 'build', 'game', 'result', 'show', 'anonymous', 'no', 'choice', 'nameless', 'statistic', 'area', 'voluntarily', 'share']",result shared build game result show anonymous no choice nameless statistic area voluntarily share,0.1779,0.20199999999999999,0.126,0.6729999999999999
B1_U1,B1,U,U1,yes its public,yes its public,"['yes', 'public']",yes public,0.4019,0.574,0.0,0.426
B1_U2,B1,U,U2,Group result: overview of lessons learned and conclusions come to,group result overview of lessons learned and conclusions come to,"['group', 'result', 'overview', 'lesson', 'learn', 'conclusion', 'come']",group result overview lesson learn conclusion come,0.0,0.0,0.0,1.0
B1_U3,B1,U,U3,building up of cards and interplayer communication,building up of cards and interplayer communication,"['build', 'card', 'interplayer', 'communication']",build card interplayer communication,0.0,0.0,0.0,1.0
B1_U4,B1,U,U4,card counting at end of final round,card counting at end of final round,"['card', 'counting', 'end', 'final', 'round']",card counting end final round,0.0,0.0,0.0,1.0
B6_U1,B6,U,U1,"Not provided, user can provide for themselves if they feel they are progressing",not provided user can provide for themselves if they feel they are progressing,"['not', 'provide', 'user', 'provide', 'feel', 'progress']",not provide user provide feel progress,0.0,0.0,0.0,1.0
B6_U2,B6,U,U2,everyone will know the result because decided together,everyone will know the result because decided together,"['know', 'result', 'decide']",know result decide,0.0,0.0,0.0,1.0
