word,frequency
different,15
police,13
community,9
need,7
empathy,7
team,7
learn,6
interaction,5
role,5
choose,5
change,5
policing,5
people,5
group,4
scenario,4
consensus,4
consequence,4
law,4
life,4
real,4
enforcement,4
good,3
internal,3
response,3
solve,3
park,3
build,3
conflict,3
gain,3
officer,3
decision,3
civilian,3
limit,3
member,3
provide,3
experience,3
bias,3
communication,3
example,2
problem,2
identity,2
come,2
want,2
fashy,2
survival,2
feeling,2
honesty,2
situation,2
video,2
individual,2
theme,2
move,2
feel,2
reflection,2
apple,2
resolution,2
public,2
specific,2
understanding,2
set,2
final,2
get,2
negative,2
option,2
depend,2
understand,2
frustration,2
superhero,2
round,2
characater,2
give,2
try,2
black,2
base,2
prevent,2
adventure,2
regular,2
person,2
work,2
tracy,1
kingdom,1
seconday,1
quickly,1
question,1
fantasy,1
innovation,1
enviromental,1
cash,1
type,1
rule,1
flaw,1
impartial,1
fast,1
have,1
general,1
possible,1
capability,1
exciting,1
take,1
racial,1
warrant,1
idea,1
attempt,1
self,1
condition,1
bobby,1
unlearn,1
land,1
heavily,1
limitation,1
gotham,1
neighborhood,1
friend,1
alternative,1
winner,1
resolve,1
white,1
minute,1
marie,1
haunt,1
outside,1
motivate,1
true,1
combination,1
read,1
death,1
represent,1
recognize,1
decide,1
succeed,1
positive,1
table,1
simple,1
accomplishment,1
variety,1
engagement,1
emotionally,1
collective,1
demographic,1
sustain,1
jail,1
pretty,1
forward,1
comedy,1
low,1
simulatied,1
empahty,1
open,1
conclusion,1
collaboration,1
lose,1
bad,1
laughter,1
stakeholder,1
flashback,1
trip,1
lesson,1
buy,1
reality,1
shifting,1
survive,1
parents,1
match,1
safety,1
region,1
curiosity,1
obstacle,1
phase,1
reliant,1
overview,1
status,1
source,1
zombie,1
keep,1
sr,1
safe,1
dillon,1
denominator,1
successful,1
primary,1
know,1
evoke,1
eachother,1
vote,1
dialogue,1
reflect,1
instruction,1
value,1
growth,1
fact,1
overcome,1
leave,1
benefit,1
style,1
pride,1
interplayer,1
stop,1
threaten,1
honest,1
progress,1
concept,1
reflex,1
leadership,1
subrole,1
user,1
multiple,1
aspect,1
start,1
francis,1
root,1
flat,1
resist,1
assign,1
extra,1
invasion,1
define,1
inequity,1
difficulty,1
effective,1
faith,1
urban,1
friends,1
contemplative,1
playing,1
garden,1
figure,1
emotion,1
interactive,1
don,1
progression,1
esque,1
shift,1
city,1
counting,1
characteristic,1
reach,1
t,1
storyline,1
invest,1
produce,1
soft,1
interest,1
population,1
control,1
pick,1
surprise,1
side,1
discussion,1
stack,1
reasoning,1
assume,1
verbal,1
differential,1
indignation,1
walk,1
candy,1
typical,1
blake,1
fine,1
twist,1
entry,1
fear,1
opportunity,1
mindedness,1
cop,1
collabroate,1
patrol,1
switch,1
discomfort,1
virtual,1
single,1
sustained,1
surve,1
insight,1
diversity,1
diverse,1
require,1
mcdonald,1
vs,1
establish,1
provoke,1
success,1
available,1
enforce,1
encourage,1
medal,1
asesse,1
fairly,1
ability,1
past,1
common,1
slow,1
route,1
thought,1
viewpoint,1
