word,frequency
police,7
community,4
role,4
conflict,3
need,3
empathy,3
character,3
officer,3
world,2
resolution,2
base,2
provide,2
different,2
real,2
feel,2
main,2
game,2
solve,2
play,2
group,1
move,1
discussion,1
playing,1
outcome,1
level,1
set,1
change,1
switch,1
impartial,1
shift,1
benefit,1
option,1
identity,1
city,1
sustained,1
goal,1
feedback,1
soft,1
table,1
learn,1
collective,1
member,1
s,1
subrole,1
capability,1
like,1
start,1
scenario,1
typical,1
know,1
diverse,1
figure,1
depend,1
resolve,1
simulate,1
secondary,1
inequity,1
fact,1
status,1
score,1
experience,1
action,1
story,1
differential,1
engagement,1
not,1
plot,1
population,1
result,1
user,1
side,1
give,1
stop,1
patrol,1
no,1
establish,1
virtual,1
situation,1
knowledge,1
understanding,1
racial,1
skill,1
motivate,1
decide,1
player,1
problem,1
progress,1
shifting,1
