word,frequency,cat
bias,16,L
community,12,L
understand,9,L
police,8,L
racial,8,L
member,6,L
gain,5,L
recognize,4,L
cop,4,L
identify,4,L
understanding,4,L
different,4,L
perspective,4,L
communication,4,L
injustice,3,L
experience,3,L
barrier,3,L
policing,3,L
give,2,L
deal,2,L
self,2,L
scenario,2,L
student,2,L
work,2,L
reflection,2,L
advocate,2,L
implicit,2,L
current,2,L
require,2,L
make,2,L
learning,2,L
people,2,L
role,2,L
pattern,2,L
personal,2,L
need,2,L
university,2,L
system,2,L
specific,2,L
resource,2,L
officer,2,L
broad,2,L
orient,2,L
later,2,L
achieve,2,L
restriction,2,L
health,2,L
policy,2,L
day,2,L
effect,2,L
insight,2,L
mental,2,L
spoken,1,L
try,1,L
trust,1,L
language,1,L
thorough,1,L
piolcing,1,L
improve,1,L
design,1,L
identification,1,L
analyze,1,L
walk,1,L
hopefulness,1,L
reevaluation,1,L
question,1,L
smart,1,L
separately,1,L
compassion,1,L
act,1,L
crowdsource,1,L
decision,1,L
professional,1,L
check,1,L
immediate,1,L
unconscious,1,L
care,1,L
administrator,1,L
statistic,1,L
modelling,1,L
stay,1,L
wrong,1,L
justice,1,L
vulnerable,1,L
engaged,1,L
subjesct,1,L
plus,1,L
witness,1,L
judicial,1,L
roleplay,1,L
court,1,L
information,1,L
quest,1,L
behaviour,1,L
vocabulary,1,L
deep,1,L
assmption,1,L
know,1,L
individual,1,L
penalty,1,L
administration,1,L
okay,1,L
academy,1,L
learn,1,L
final,1,L
manner,1,L
analysis,1,L
maybe,1,L
maker,1,L
general,1,L
incorporate,1,L
forgiveness,1,L
communicate,1,L
develop,1,L
bad,1,L
discrimination,1,L
come,1,L
overcome,1,L
behave,1,L
prompt,1,L
cursory,1,L
multiplayer,1,L
street,1,L
change,1,L
tradeoff,1,L
don,1,L
age,1,L
little,1,L
involve,1,L
intuition,1,L
issue,1,L
accessible,1,L
law,1,L
t,1,L
communcate,1,L
habit,1,L
collect,1,L
gather,1,L
awareness,1,L
certain,1,L
plan,1,L
distribute,1,L
worldview,1,L
usa,1,L
access,1,L
able,1,L
situation,1,L
strong,1,L
info,1,L
simple,1,L
video,1,L
trial,1,L
realistic,1,L
beat,1,L
difference,1,L
good,1,L
surprising,1,L
proessir,1,L
fact,1,L
influence,1,L
think,1,L
review,1,L
shift,1,L
solution,1,L
regulary,1,L
discover,1,L
drive,1,L
elect,1,L
