word,frequency,cat
police,9,L
different,6,L
need,5,L
skill,5,L
team,4,L
action,3,L
interaction,3,L
change,3,L
enforcement,3,L
knowledge,3,L
law,3,L
s,3,L
learn,3,L
consensus,3,L
play,3,L
policing,3,L
bias,3,L
goal,3,L
empathy,3,L
decision,3,L
player,3,L
people,2,L
internal,2,L
conflict,2,L
role,2,L
experience,2,L
not,2,L
consequence,2,L
member,2,L
build,2,L
community,2,L
understand,2,L
feeling,2,L
understanding,2,L
officer,2,L
level,2,L
resolution,2,L
communication,2,L
point,2,L
win,2,L
come,1,L
t,1,L
common,1,L
status,1,L
unlearn,1,L
true,1,L
route,1,L
honest,1,L
resist,1,L
stakeholder,1,L
enforce,1,L
denominator,1,L
reach,1,L
interest,1,L
value,1,L
black,1,L
solve,1,L
insight,1,L
survive,1,L
attempt,1,L
require,1,L
reasoning,1,L
collabroate,1,L
possible,1,L
scenario,1,L
individual,1,L
pretty,1,L
character,1,L
read,1,L
quickly,1,L
land,1,L
define,1,L
civilian,1,L
no,1,L
patrol,1,L
question,1,L
alternative,1,L
want,1,L
demographic,1,L
empahty,1,L
example,1,L
candy,1,L
racial,1,L
differential,1,L
establish,1,L
score,1,L
recognize,1,L
problem,1,L
reflect,1,L
simulatied,1,L
move,1,L
fairly,1,L
white,1,L
gain,1,L
asesse,1,L
instruction,1,L
safety,1,L
situation,1,L
single,1,L
condition,1,L
vs,1,L
take,1,L
enviromental,1,L
leadership,1,L
entry,1,L
past,1,L
root,1,L
fact,1,L
safe,1,L
leave,1,L
collaboration,1,L
effective,1,L
flaw,1,L
person,1,L
viewpoint,1,L
depend,1,L
available,1,L
represent,1,L
honesty,1,L
reliant,1,L
inequity,1,L
choose,1,L
shifting,1,L
get,1,L
end,1,L
aspect,1,L
characteristic,1,L
game,1,L
assign,1,L
flashback,1,L
winner,1,L
keep,1,L
don,1,L
final,1,L
ability,1,L
reflex,1,L
simple,1,L
rule,1,L
soft,1,L
low,1,L
concept,1,L
card,1,L
character,10,S
community,6,S
main,5,S
secondary,5,S
interact,4,S
life,3,S
world,3,S
calvin,3,S
police,3,S
real,3,S
fashy,2,S
try,2,S
s,2,S
different,2,S
plot,2,S
people,2,S
player,2,S
scenario,2,S
superhero,2,S
give,2,S
specific,2,S
civilian,2,S
characater,2,S
regular,2,S
park,2,S
work,2,S
member,1,S
role,1,S
set,1,S
outcome,1,S
blake,1,S
seconday,1,S
city,1,S
base,1,S
figure,1,S
pick,1,S
bobby,1,S
black,1,S
feel,1,S
kingdom,1,S
combination,1,S
not,1,S
survival,1,S
learn,1,S
diverse,1,S
surve,1,S
example,1,S
friend,1,S
heavily,1,S
theme,1,S
parents,1,S
population,1,S
sr,1,S
gotham,1,S
story,1,S
esque,1,S
want,1,S
resolve,1,S
control,1,S
have,1,S
cop,1,S
diversity,1,S
dillon,1,S
situation,1,S
obstacle,1,S
impartial,1,S
overcome,1,S
marie,1,S
prevent,1,S
interaction,1,S
eachother,1,S
adventure,1,S
move,1,S
dialogue,1,S
reality,1,S
subrole,1,S
conflict,1,S
thing,1,S
produce,1,S
policing,1,S
no,1,S
primary,1,S
urban,1,S
person,1,S
invasion,1,S
walk,1,S
group,1,S
identity,1,S
tracy,1,S
way,1,S
depend,1,S
slow,1,S
neighborhood,1,S
francis,1,S
variety,1,S
outside,1,S
challenge,1,S
mcdonald,1,S
friends,1,S
like,1,S
need,1,S
assume,1,S
success,1,S
garden,1,S
game,11,G
card,8,G
outcome,7,G
different,7,G
level,6,G
time,6,G
action,5,G
feedback,4,G
choose,4,G
empathy,4,G
player,4,G
team,3,G
response,3,G
yes,3,G
limit,3,G
good,3,G
no,3,G
role,2,G
apple,2,G
option,2,G
group,2,G
video,2,G
consequence,2,G
reflection,2,G
frustration,2,G
point,2,G
negative,2,G
solve,2,G
change,2,G
motivation,2,G
play,2,G
gain,2,G
thing,2,G
switch,1,G
bad,1,G
medal,1,G
honesty,1,G
indignation,1,G
officer,1,G
provoke,1,G
second,1,G
evoke,1,G
opportunity,1,G
set,1,G
stop,1,G
law,1,G
community,1,G
get,1,G
threaten,1,G
surprise,1,G
consensus,1,G
life,1,G
succeed,1,G
typical,1,G
progression,1,G
emotionally,1,G
stack,1,G
forward,1,G
extra,1,G
lose,1,G
zombie,1,G
multiple,1,G
benefit,1,G
base,1,G
self,1,G
theme,1,G
score,1,G
pride,1,G
survival,1,G
contemplative,1,G
learn,1,G
discomfort,1,G
death,1,G
trip,1,G
virtual,1,G
limitation,1,G
engagement,1,G
public,1,G
haunt,1,G
sustain,1,G
buy,1,G
motivate,1,G
encourage,1,G
mindedness,1,G
general,1,G
fear,1,G
people,1,G
not,1,G
round,1,G
character,1,G
scenario,1,G
etc,1,G
minute,1,G
provide,1,G
emotion,1,G
phase,1,G
region,1,G
comedy,1,G
police,1,G
prevent,1,G
style,1,G
verbal,1,G
enforcement,1,G
adventure,1,G
interaction,1,G
individual,1,G
fast,1,G
side,1,G
storyline,1,G
curiosity,1,G
discussion,1,G
park,1,G
fantasy,1,G
world,1,G
policing,1,G
type,1,G
playing,1,G
faith,1,G
successful,1,G
difficulty,1,G
sustained,1,G
problem,1,G
exciting,1,G
experience,1,G
identity,1,G
match,1,G
invest,1,G
win,1,G
growth,1,G
accomplishment,1,G
collective,1,G
table,1,G
jail,1,G
idea,1,G
flat,1,G
start,1,G
shift,1,G
vote,1,G
positive,1,G
internal,1,G
open,1,G
source,1,G
innovation,1,G
fine,1,G
thought,1,G
capability,1,G
real,1,G
cash,1,G
need,1,G
twist,1,G
warrant,1,G
laughter,1,G
interactive,1,G
card,2,U
result,2,U
provide,2,U
yes,1,U
public,1,U
decide,1,U
learn,1,U
end,1,U
communication,1,U
not,1,U
come,1,U
counting,1,U
feel,1,U
lesson,1,U
group,1,U
final,1,U
progress,1,U
interplayer,1,U
user,1,U
conclusion,1,U
round,1,U
build,1,U
know,1,U
overview,1,U
