word,frequency,cat
police,4,L
community,4,L
member,3,L
insight,2,L
game,2,L
cop,2,L
effect,2,L
s,2,L
reflection,2,L
difference,1,L
explain,1,L
later,1,L
crowdsource,1,L
analysis,1,L
policing,1,L
recognize,1,L
act,1,L
learn,1,L
possible,1,L
broad,1,L
current,1,L
player,1,L
regulary,1,L
info,1,L
question,1,L
new,1,L
distribute,1,L
discover,1,L
subject,1,L
action,1,L
immediate,1,L
licensed,1,L
life,1,L
gather,1,L
people,1,L
perspective,1,L
multiplayer,1,L
bias,1,L
surprising,1,L
bad,1,L
witness,1,L
officer,1,L
scenario,1,L
gain,1,L
wrong,1,L
improve,1,L
deal,1,L
cop,4,S
end,3,S
people,3,S
play,2,S
community,2,S
main,2,S
player,2,S
police,1,S
game,1,S
parciticipant,1,S
criminal,1,S
member,1,S
character,1,S
structure,1,S
look,1,S
interact,1,S
possibility,1,S
relatable,1,S
partner,1,S
protagonist,1,S
setting,1,S
base,1,S
second,1,S
life,1,S
explicit,1,S
similar,1,S
reverse,1,S
role,1,S
plot,1,S
develop,1,S
set,1,S
game,3,G
player,2,G
different,2,G
end,2,G
see,2,G
level,1,G
scenario,1,G
give,1,G
design,1,G
s,1,G
curiosity,1,G
illustrative,1,G
pressure,1,G
feedback,1,G
shame,1,G
mandatory,1,G
cool,1,G
part,1,G
image,1,G
possible,1,G
story,1,G
idea,1,G
bewilderment,1,G
recur,1,G
thing,1,G
opinion,1,G
discomfort,1,G
multichoice,1,G
visual,1,G
action,1,G
discovery,1,G
immediate,1,G
happen,1,G
produce,1,G
engage,1,G
interpretation,1,G
base,1,G
move,1,G
time,1,G
vulnerability,1,G
evolve,1,G
people,1,G
share,3,U
result,3,U
show,2,U
game,2,U
nuanced,1,U
choice,1,U
build,1,U
yes,1,U
player,1,U
no,1,U
analysis,1,U
voluntarily,1,U
nameless,1,U
report,1,U
anonymous,1,U
insightful,1,U
progress,1,U
end,1,U
statistic,1,U
stop,1,U
area,1,U
