word,frequency,cat
police,8,L
community,6,L
member,4,L
s,3,L
officer,3,L
empathy,2,L
effect,2,L
cop,2,L
insight,2,L
resolution,2,L
conflict,2,L
learn,2,L
play,2,L
reflection,2,L
role,2,L
game,2,L
scenario,1,L
people,1,L
goal,1,L
gather,1,L
broad,1,L
change,1,L
perspective,1,L
bad,1,L
life,1,L
no,1,L
need,1,L
outcome,1,L
bias,1,L
experience,1,L
move,1,L
act,1,L
policing,1,L
question,1,L
soft,1,L
regulary,1,L
difference,1,L
subject,1,L
surprising,1,L
later,1,L
discover,1,L
new,1,L
patrol,1,L
inequity,1,L
differential,1,L
action,1,L
immediate,1,L
licensed,1,L
status,1,L
fact,1,L
deal,1,L
multiplayer,1,L
simulate,1,L
witness,1,L
current,1,L
gain,1,L
wrong,1,L
improve,1,L
distribute,1,L
player,1,L
analysis,1,L
recognize,1,L
skill,1,L
explain,1,L
racial,1,L
understanding,1,L
knowledge,1,L
info,1,L
possible,1,L
crowdsource,1,L
establish,1,L
shifting,1,L
character,4,S
cop,4,S
community,4,S
main,4,S
police,3,S
end,3,S
people,3,S
player,3,S
play,2,S
real,2,S
world,2,S
set,2,S
plot,2,S
base,2,S
depend,1,S
need,1,S
group,1,S
setting,1,S
member,1,S
scenario,1,S
possibility,1,S
similar,1,S
subrole,1,S
interact,1,S
impartial,1,S
look,1,S
city,1,S
role,1,S
criminal,1,S
story,1,S
game,1,S
life,1,S
protagonist,1,S
second,1,S
feel,1,S
give,1,S
resolve,1,S
situation,1,S
partner,1,S
secondary,1,S
structure,1,S
conflict,1,S
parciticipant,1,S
figure,1,S
explicit,1,S
population,1,S
like,1,S
diverse,1,S
develop,1,S
reverse,1,S
relatable,1,S
game,5,G
different,4,G
level,2,G
end,2,G
base,2,G
role,2,G
action,2,G
see,2,G
solve,2,G
player,2,G
capability,1,G
typical,1,G
discomfort,1,G
vulnerability,1,G
pressure,1,G
visual,1,G
discovery,1,G
switch,1,G
mandatory,1,G
move,1,G
time,1,G
happen,1,G
evolve,1,G
benefit,1,G
discussion,1,G
illustrative,1,G
scenario,1,G
start,1,G
bewilderment,1,G
s,1,G
need,1,G
opinion,1,G
interpretation,1,G
table,1,G
story,1,G
shift,1,G
people,1,G
option,1,G
multichoice,1,G
playing,1,G
shame,1,G
engagement,1,G
immediate,1,G
score,1,G
officer,1,G
produce,1,G
engage,1,G
idea,1,G
empathy,1,G
motivate,1,G
cool,1,G
thing,1,G
recur,1,G
side,1,G
give,1,G
design,1,G
problem,1,G
curiosity,1,G
police,1,G
feedback,1,G
sustained,1,G
part,1,G
stop,1,G
image,1,G
identity,1,G
virtual,1,G
possible,1,G
collective,1,G
result,4,U
share,3,U
show,2,U
provide,2,U
game,2,U
progress,2,U
anonymous,1,U
feedback,1,U
stop,1,U
analysis,1,U
nameless,1,U
player,1,U
choice,1,U
end,1,U
statistic,1,U
user,1,U
know,1,U
voluntarily,1,U
yes,1,U
area,1,U
not,1,U
nuanced,1,U
feel,1,U
report,1,U
insightful,1,U
decide,1,U
no,1,U
build,1,U
