word,frequency,cat
bias,19,L
police,17,L
community,14,L
knowledge,13,L
player,11,L
skill,11,L
understand,11,L
different,10,L
racial,9,L
game,9,L
s,8,L
member,8,L
need,7,L
play,7,L
policing,6,L
understanding,6,L
gain,6,L
communication,6,L
challenge,5,L
action,5,L
experience,5,L
goal,5,L
recognize,5,L
team,4,L
character,4,L
law,4,L
role,4,L
identify,4,L
decision,4,L
perspective,4,L
cop,4,L
people,4,L
officer,4,L
change,4,L
interaction,4,L
learn,4,L
level,4,L
injustice,3,L
insight,3,L
barrier,3,L
way,3,L
not,3,L
require,3,L
consensus,3,L
empathy,3,L
scenario,3,L
point,3,L
enforcement,3,L
well,3,L
day,2,L
policy,2,L
personal,2,L
deal,2,L
advocate,2,L
pattern,2,L
individual,2,L
final,2,L
restriction,2,L
orient,2,L
build,2,L
situation,2,L
effect,2,L
implicit,2,L
health,2,L
conflict,2,L
t,2,L
share,2,L
self,2,L
give,2,L
come,2,L
learning,2,L
time,2,L
safety,2,L
university,2,L
fact,2,L
question,2,L
possible,2,L
simple,2,L
work,2,L
make,2,L
broad,2,L
mental,2,L
resolution,2,L
don,2,L
resource,2,L
achieve,2,L
outcome,2,L
reflection,2,L
card,2,L
interest,2,L
story,2,L
internal,2,L
current,2,L
feeling,2,L
later,2,L
system,2,L
win,2,L
student,2,L
consequence,2,L
specific,2,L
root,1,L
reevaluation,1,L
solution,1,L
vs,1,L
statistic,1,L
like,1,L
habit,1,L
route,1,L
reward,1,L
improve,1,L
get,1,L
reliant,1,L
flashback,1,L
distribute,1,L
flaw,1,L
worldview,1,L
quickly,1,L
language,1,L
penalty,1,L
entry,1,L
analysis,1,L
analyze,1,L
vague,1,L
explain,1,L
represent,1,L
surprising,1,L
true,1,L
able,1,L
drive,1,L
ability,1,L
available,1,L
stakeholder,1,L
coproduce,1,L
status,1,L
smart,1,L
incorporate,1,L
usa,1,L
vocabulary,1,L
activity,1,L
depend,1,L
identification,1,L
professional,1,L
choose,1,L
access,1,L
alternative,1,L
attempt,1,L
design,1,L
look,1,L
want,1,L
issue,1,L
okay,1,L
office,1,L
collect,1,L
stay,1,L
teacher,1,L
resolve,1,L
low,1,L
behave,1,L
unconscious,1,L
check,1,L
involve,1,L
teach,1,L
black,1,L
shift,1,L
asesse,1,L
wrong,1,L
develop,1,L
winner,1,L
intuition,1,L
begin,1,L
establish,1,L
walk,1,L
school,1,L
scenariso,1,L
partially,1,L
witness,1,L
white,1,L
reflect,1,L
academy,1,L
assmption,1,L
mistake,1,L
awareness,1,L
difference,1,L
maybe,1,L
trial,1,L
try,1,L
enforce,1,L
no,1,L
review,1,L
good,1,L
structural,1,L
leadership,1,L
court,1,L
plus,1,L
manner,1,L
define,1,L
single,1,L
trust,1,L
modelling,1,L
demographic,1,L
enviromental,1,L
engaged,1,L
communicate,1,L
proessir,1,L
concept,1,L
official,1,L
administrator,1,L
rule,1,L
act,1,L
maker,1,L
new,1,L
piolcing,1,L
behaviour,1,L
assign,1,L
beat,1,L
spoken,1,L
fairly,1,L
brief,1,L
effective,1,L
differential,1,L
hopefulness,1,L
patrol,1,L
feedback,1,L
gather,1,L
justice,1,L
denominator,1,L
value,1,L
solve,1,L
know,1,L
realistic,1,L
inequity,1,L
empathize,1,L
prompt,1,L
info,1,L
strong,1,L
case,1,L
honesty,1,L
administration,1,L
deep,1,L
subjesct,1,L
candy,1,L
cursory,1,L
empahty,1,L
life,1,L
state,1,L
condition,1,L
vulnerable,1,L
safe,1,L
judicial,1,L
aspect,1,L
little,1,L
plan,1,L
thorough,1,L
street,1,L
tradeoff,1,L
compassion,1,L
regulary,1,L
general,1,L
information,1,L
pretty,1,L
civilian,1,L
age,1,L
land,1,L
separately,1,L
read,1,L
reflex,1,L
example,1,L
video,1,L
think,1,L
collabroate,1,L
roleplay,1,L
end,1,L
communcate,1,L
thing,1,L
resist,1,L
limitaton,1,L
multiplayer,1,L
influence,1,L
elect,1,L
licensed,1,L
move,1,L
collaboration,1,L
past,1,L
score,1,L
certain,1,L
keep,1,L
happen,1,L
