word,frequency
police,12
community,10
game,10
player,7
cop,6
end,6
member,5
people,5
role,5
character,4
different,4
s,4
main,4
play,4
officer,4
base,4
result,4
empathy,3
action,3
share,3
conflict,3
scenario,3
need,3
provide,2
possible,2
real,2
progress,2
move,2
set,2
story,2
see,2
feel,2
world,2
insight,2
life,2
level,2
stop,2
analysis,2
resolution,2
plot,2
reflection,2
feedback,2
immediate,2
effect,2
give,2
learn,2
show,2
solve,2
no,2
yes,1
produce,1
explain,1
thing,1
time,1
skill,1
witness,1
partner,1
curiosity,1
discover,1
interpretation,1
possibility,1
improve,1
recur,1
anonymous,1
pressure,1
playing,1
info,1
build,1
nuanced,1
start,1
like,1
bewilderment,1
subrole,1
insightful,1
collective,1
bad,1
interact,1
look,1
multiplayer,1
soft,1
regulary,1
subject,1
choice,1
vulnerability,1
crowdsource,1
discomfort,1
virtual,1
establish,1
new,1
experience,1
decide,1
typical,1
surprising,1
setting,1
impartial,1
discovery,1
wrong,1
gather,1
discussion,1
group,1
develop,1
shifting,1
licensed,1
identity,1
distribute,1
recognize,1
structure,1
sustained,1
policing,1
part,1
image,1
knowledge,1
patrol,1
parciticipant,1
score,1
later,1
protagonist,1
design,1
opinion,1
bias,1
problem,1
second,1
explicit,1
idea,1
shame,1
user,1
side,1
differential,1
similar,1
figure,1
engage,1
deal,1
gain,1
motivate,1
reverse,1
simulate,1
resolve,1
diverse,1
depend,1
current,1
illustrative,1
relatable,1
capability,1
criminal,1
status,1
act,1
goal,1
cool,1
table,1
voluntarily,1
question,1
difference,1
fact,1
shift,1
not,1
happen,1
population,1
inequity,1
multichoice,1
switch,1
understanding,1
situation,1
know,1
perspective,1
report,1
visual,1
engagement,1
benefit,1
change,1
broad,1
mandatory,1
outcome,1
option,1
racial,1
evolve,1
city,1
statistic,1
area,1
nameless,1
secondary,1
