word,frequency
police,33
community,30
different,26
bias,21
people,15
understand,14
member,13
cop,13
role,11
communication,10
racial,10
real,10
gain,9
need,9
empathy,9
resource,8
scenario,8
policing,8
progress,8
health,7
base,7
officer,7
learn,7
interaction,7
decision,7
team,7
understanding,6
situation,6
mental,6
group,6
experience,6
choose,6
change,6
life,6
patient,6
limitation,5
limit,5
conflict,5
law,5
video,5
give,5
specific,5
response,5
good,5
recognize,5
black,4
final,4
individual,4
self,4
insight,4
build,4
person,4
consensus,4
provide,4
issue,4
court,4
identify,4
work,4
control,4
involve,4
perspective,4
communicate,4
reflection,4
solve,4
possible,4
take,4
make,4
bad,4
enforcement,4
consequence,4
problem,3
move,3
injustice,3
animal,3
barrier,3
sustain,3
certain,3
try,3
nurse,3
anger,3
set,3
curiosity,3
compassion,3
option,3
require,3
come,3
safety,3
internal,3
interpretation,3
civilian,3
case,3
allow,3
realistic,3
analysis,3
want,3
personal,3
example,3
theme,3
resolution,3
worker,3
discomfort,3
depend,3
social,3
witness,3
park,3
start,2
statistic,2
switch,2
learning,2
ability,2
fantasy,2
analyze,2
sadness,2
pattern,2
information,2
available,2
talk,2
policy,2
scary,2
include,2
implicit,2
safe,2
later,2
roleplay,2
currency,2
multi,2
public,2
system,2
have,2
stay,2
white,2
usa,2
don,2
evaluation,2
orient,2
effect,2
review,2
training,2
show,2
actually,2
place,2
decide,2
multiple,2
develop,2
type,2
superhero,2
student,2
discussion,2
event,2
simple,2
day,2
immediate,2
feeling,2
frustration,2
feel,2
know,2
survival,2
honesty,2
advocate,2
vague,2
fact,2
walk,2
judge,2
achieve,2
general,2
victim,2
look,2
design,2
produce,2
t,2
get,2
adventure,2
question,2
lead,2
regular,2
identity,2
negative,2
fashy,2
overcome,2
shift,2
stop,2
version,2
note,2
resolve,2
mandatory,2
round,2
fear,2
stage,2
see,2
university,2
occur,2
low,2
language,2
help,2
broad,2
current,2
prevent,2
assume,2
interest,2
idea,2
color,2
cool,2
apple,2
offer,2
deal,2
able,2
characater,2
choice,2
restriction,2
motivate,2
engagement,1
obstacle,1
thought,1
physical,1
hopefulness,1
care,1
competiteveness,1
trauma,1
interpret,1
interplayer,1
vote,1
determine,1
virtual,1
reach,1
evoke,1
beat,1
reflect,1
structural,1
agree,1
differential,1
mission,1
distinct,1
style,1
unlock,1
source,1
society,1
enviromental,1
think,1
growth,1
overview,1
teacher,1
explain,1
exacerbate,1
academy,1
activity,1
car,1
criminal,1
jail,1
instruction,1
sr,1
accumulation,1
vulnerability,1
contemplative,1
sustained,1
limitaton,1
habit,1
dialogue,1
state,1
connection,1
past,1
licensed,1
bezos,1
forgiveness,1
total,1
pick,1
table,1
use,1
pose,1
free,1
racially,1
storyline,1
winner,1
forward,1
resist,1
sorry,1
phase,1
pass,1
urban,1
region,1
task,1
represent,1
buy,1
fine,1
entertainement,1
diverse,1
stakeholder,1
deep,1
kingdom,1
justice,1
trip,1
succeed,1
sense,1
drive,1
face,1
capability,1
official,1
optimism,1
summary,1
gotham,1
window,1
plus,1
participant,1
seconday,1
eligibility,1
engaged,1
vulnerable,1
present,1
wrong,1
reality,1
modelling,1
tutorial,1
act,1
honest,1
city,1
variety,1
collection,1
invest,1
quickly,1
fun,1
alien,1
distribute,1
medium,1
protagonist,1
e,1
important,1
candy,1
restrain,1
parallel,1
post,1
check,1
verbal,1
accurately,1
progression,1
fi,1
exchange,1
side,1
metaphorical,1
bewilderment,1
shared,1
limited,1
online,1
diversity,1
population,1
illustrative,1
attempt,1
debrief,1
office,1
family,1
detroit,1
typical,1
visual,1
coproduce,1
stack,1
non,1
friends,1
positive,1
imagine,1
file,1
provoke,1
human,1
breakdown,1
rule,1
behave,1
board,1
faith,1
unlearn,1
hold,1
tradeoff,1
mirror,1
